Standard Code,Subject,Grade,Domain,Strand,Cluster,Standard,Substandard,Category,Subcategory,Description
N.VM.4,Math,9-12,N,VM,Perform operations on vectors.,4,,Number and Quantity,Vector and Matrix Quantities,Add and subtract vectors.
N.VM.4a,Math,9-12,N,VM,Perform operations on vectors.,4,a,Number and Quantity,Vector and Matrix Quantities,"Add vectors end-to-end, component-wise, and by the parallelogram rule. Understand that the magnitude of a sum of two vectors is typically not the sum of the magnitudes"
N.VM.4b,Math,9-12,N,VM,Perform operations on vectors.,4,b,Number and Quantity,Vector and Matrix Quantities,"Given two vectors in magnitude and direction form, determine the magnitude and direction of their sum"
N.VM.4c,Math,9-12,N,VM,Perform operations on vectors.,4,c,Number and Quantity,Vector and Matrix Quantities,"Understand vector subtraction v - w as v + (-w), where (-w) is the additive inverse of w, with the same magnitude as w and pointing in the opposite direction. Represent vector subtraction graphically by connecting the tips in the appropriate order, and perform vector subtraction component-wise"
N.VM.5,Math,9-12,N,VM,Perform operations on vectors.,5,,Number and Quantity,Vector and Matrix Quantities,Multiply a vector by a scalar
N.VM.5a,Math,9-12,N,VM,Perform operations on vectors.,5,a,Number and Quantity,Vector and Matrix Quantities,"Represent scalar multiplication graphically by scaling vectors and possibly reversing their direction; perform scalar multiplication component-wise, e.g., as c(v(sub x), v(sub y)) = (cv(sub x), cv(sub y))"
N.VM.5b,Math,9-12,N,VM,Perform operations on vectors.,5,b,Number and Quantity,Vector and Matrix Quantities,"Compute the magnitude of a scalar multiple cv using ||cv|| = |c|v. Compute the direction of cv knowing that when |c|v ? 0, the direction of cv is either along v (for c > 0) or against v (for c < 0)"
N.VM.6,Math,9-12,N,VM,Perform operations on matrices and use matrices in applications.,6,,Number and Quantity,Vector and Matrix Quantities,"Use matrices to represent and manipulate data, e.g., to represent payoffs or incidence relationships in a network"
N.VM.7,Math,9-12,N,VM,Perform operations on matrices and use matrices in applications.,7,,Number and Quantity,Vector and Matrix Quantities,"Multiply matrices by scalars to produce new matrices, e.g., as when all of the payoffs in a game are doubled"
N.VM.8,Math,9-12,N,VM,Perform operations on matrices and use matrices in applications.,8,,Number and Quantity,Vector and Matrix Quantities,"Add, subtract, and multiply matrices of appropriate dimensions"
N.VM.9,Math,9-12,N,VM,Perform operations on matrices and use matrices in applications.,9,,Number and Quantity,Vector and Matrix Quantities,"Understand that, unlike multiplication of numbers, matrix multiplication for square matrices is not a commutative operation, but still satisfies the associative and distributive properties"
N.VM.10,Math,9-12,N,VM,Perform operations on matrices and use matrices in applications.,10,,Number and Quantity,Vector and Matrix Quantities,Understand that the zero and identity matrices play a role in matrix addition and multiplication similar to the role of 0 and 1 in the real numbers. The determinant of a square matrix is nonzero if and only if the matrix has a multiplicative inverse
N.VM.11,Math,9-12,N,VM,Perform operations on matrices and use matrices in applications.,11,,Number and Quantity,Vector and Matrix Quantities,Multiply a vector (regarded as a matrix with one column) by a matrix of suitable dimensions to produce another vector. Work with matrices as transformations of vectors
N.VM.12,Math,9-12,N,VM,Perform operations on matrices and use matrices in applications.,12,,Number and Quantity,Vector and Matrix Quantities,"Work with 2 X 2 matrices as transformations of the plane, and interpret the absolute value of the determinant in terms of area"
A.SSE.1,Math,9-12,A,SSE,Interpret the structure of expressions.,1,,Algebra,Seeing Structure in Expressions,Interpret expressions that represent a quantity in terms of its context.*
A.SSE.1a,Math,9-12,A,SSE,Interpret the structure of expressions.,1,a,Algebra,Seeing Structure in Expressions,"Interpret parts of an expression, such as terms, factors, and coefficients.*"
A.SSE.1b,Math,9-12,A,SSE,Interpret the structure of expressions.,1,b,Algebra,Seeing Structure in Expressions,"Interpret complicated expressions by viewing one or more of their parts as a single entity. For example, interpret P(1+r)^n as the product of P and a factor not depending on P.*"
A.SSE.2,Math,9-12,A,SSE,Interpret the structure of expressions.,2,,Algebra,Seeing Structure in Expressions,"Use the structure of an expression to identify ways to rewrite it. For example, see x^4 - y^4 as (x^2)^2 - (y^2)^2, thus recognizing it as a difference of squares that can be factored as (x^2 - y^2)(x^2 + y^2)."
A.SSE.3,Math,9-12,A,SSE,Write expressions in equivalent forms to solve problems.,3,,Algebra,Seeing Structure in Expressions,Choose and produce an equivalent form of an expression to reveal and explain properties of the quantity represented by the expression.*
A.SSE.3a,Math,9-12,A,SSE,Write expressions in equivalent forms to solve problems.,3,a,Algebra,Seeing Structure in Expressions,Factor a quadratic expression to reveal the zeros of the function it defines.*
A.SSE.3b,Math,9-12,A,SSE,Write expressions in equivalent forms to solve problems.,3,b,Algebra,Seeing Structure in Expressions,Complete the square in a quadratic expression to reveal the maximum or minimum value of the function it defines.*
A.SSE.3c,Math,9-12,A,SSE,Write expressions in equivalent forms to solve problems.,3,c,Algebra,Seeing Structure in Expressions,Use the properties of exponents to transform expressions for exponential functions. For example the expression 1.15^t can be rewritten as [1.15^(1/12)]^(12t) Å 1.012^(12t) to reveal the approximate equivalent monthly interest rate if the annual rate is 15%.*
A.SSE.4,Math,9-12,A,SSE,Write expressions in equivalent forms to solve problems.,4,,Algebra,Seeing Structure in Expressions,"Derive the formula for the sum of a finite geometric series (when the common ratio is not 1), and use the formula to solve problems. For example, calculate mortgage payments.*"
A.APR.1,Math,9-12,A,APR,Perform arithmetic operations on polynomials,1,,Algebra,Arithmetic with Polynomials and Rational Expressions,"Understand that polynomials form a system analogous to the integers, namely, they are closed under the operations of addition, subtraction, and multiplication; add, subtract, and multiply polynomials."
A.APR.2,Math,9-12,A,APR,Understand the relationship between zeros and factors of polynomials,2,,Algebra,Arithmetic with Polynomials and Rational Expressions,"Know and apply the Remainder Theorem: For a polynomial p(x) and a number a, the remainder on division by x - a is p(a), so p(a) = 0 if and only if (x - a) is a factor of p(x)."
A.APR.3,Math,9-12,A,APR,Understand the relationship between zeros and factors of polynomials,3,,Algebra,Arithmetic with Polynomials and Rational Expressions,"Identify zeros of polynomials when suitable factorizations are available, and use the zeros to construct a rough graph of the function defined by the polynomial."
A.APR.4,Math,9-12,A,APR,Use polynomial identities to solve problems,4,,Algebra,Arithmetic with Polynomials and Rational Expressions,"Prove polynomial identities and use them to describe numerical relationships. For example, the polynomial identity (x^2 + y^2)^2 = (x^2 - y^2)^2 + (2xy)^2 can be used to generate Pythagorean triples."
A.APR.5,Math,9-12,A,APR,Use polynomial identities to solve problems,5,,Algebra,Arithmetic with Polynomials and Rational Expressions,"Know and apply that the Binomial Theorem gives the expansion of (x + y)^n in powers of x and y for a positive integer n, where x and y are any numbers, with coefficients determined for example by PascalÕs Triangle. (The Binomial Theorem can be proved by mathematical induction or by a combinatorial argument."
A.APR.6,Math,9-12,A,APR,Rewrite rational expressions,6,,Algebra,Arithmetic with Polynomials and Rational Expressions,"Rewrite simple rational expressions in different forms; write a(x)/b(x) in the form q(x) + r(x)/b(x), where a(x), b(x), q(x), and r(x) are polynomials with the degree of r(x) less than the degree of b(x), using inspection, long division, or, for the more complicated examples, a computer algebra system."
A.APR.7,Math,9-12,A,APR,Rewrite rational expressions,7,,Algebra,Arithmetic with Polynomials and Rational Expressions,"Understand that rational expressions form a system analogous to the rational numbers, closed under addition, subtraction, multiplication, and division by a nonzero rational expression; add, subtract, multiply, and divide rational expressions"
A.CED.1,Math,9-12,A,CED,Create equations that describe numbers or relationships,1,,Algebra,Creating Equations,"Create equations and inequalities in one variable and use them to solve problems. Include equations arising from linear and quadratic functions, and simple rational and exponential functions.*"
A.CED.2,Math,9-12,A,CED,Create equations that describe numbers or relationships,2,,Algebra,Creating Equations,Create equations in two or more variables to represent relationships between quantities; graph equations on coordinate axes with labels and scales.*
A.CED.3,Math,9-12,A,CED,Create equations that describe numbers or relationships,3,,Algebra,Creating Equations,"Represent constraints by equations or inequalities, and by systems of equations and/or inequalities, and interpret solutions as viable or non-viable options in a modeling context. For example, represent inequalities describing nutritional and cost constraints on combinations of different foods.*"
A.CED.4,Math,9-12,A,CED,Create equations that describe numbers or relationships,4,,Algebra,Creating Equations,"Rearrange formulas to highlight a quantity of interest, using the same reasoning as in solving equations. For example, rearrange OhmÕs law V = IR to highlight resistance R.*"
A.REI.1,Math,9-12,A,REI,Understand solving equations as a process of reasoning and explain the reasoning,1,,Algebra,Reasoning with Equations and Inequalities,"Explain each step in solving a simple equation as following from the equality of numbers asserted at the previous step, starting from the assumption that the original equation has a solution. Construct a viable argument to justify a solution method."
A.REI.2,Math,9-12,A,REI,Understand solving equations as a process of reasoning and explain the reasoning,2,,Algebra,Reasoning with Equations and Inequalities,"Solve simple rational and radical equations in one variable, and give examples showing how extraneous solutions may arise."
A.REI.3,Math,9-12,A,REI,Solve equations and inequalities in one variable,3,,Algebra,Reasoning with Equations and Inequalities,"Solve linear equations and inequalities in one variable, including equations with coefficients represented by letters."
A.REI.4,Math,9-12,A,REI,Solve equations and inequalities in one variable,4,,Algebra,Reasoning with Equations and Inequalities,Solve quadratic equations in one variable.
A.REI.4a,Math,9-12,A,REI,Solve equations and inequalities in one variable,4,a,Algebra,Reasoning with Equations and Inequalities,Use the method of completing the square to transform any quadratic equation in x into an equation of the form (x - p)^2 = q that has the same solutions. Derive the quadratic formula from this form.
A.REI.4b,Math,9-12,A,REI,Solve equations and inequalities in one variable,4,b,Algebra,Reasoning with Equations and Inequalities,"Solve quadratic equations by inspection (e.g., for x^2 = 49), taking square roots, completing the square, the quadratic formula and factoring, as appropriate to the initial form of the equation. Recognize when the quadratic formula gives complex solutions and write them as a ± bi for real numbers a and b."
A.REI.5,Math,9-12,A,REI,Solve systems of equations,5,,Algebra,Reasoning with Equations and Inequalities,"Prove that, given a system of two equations in two variables, replacing one equation by the sum of that equation and a multiple of the other produces a system with the same solutions."
A.REI.6,Math,9-12,A,REI,Solve systems of equations,6,,Algebra,Reasoning with Equations and Inequalities,"Solve systems of linear equations exactly and approximately (e.g., with graphs), focusing on pairs of linear equations in two variables."
A.REI.7,Math,9-12,A,REI,Solve systems of equations,7,,Algebra,Reasoning with Equations and Inequalities,"Solve a simple system consisting of a linear equation and a quadratic equation in two variables algebraically and graphically. For example, find the points of intersection between the line y = -3x and the circle x^2 + y^2 = 3."
A.REI.8,Math,9-12,A,REI,Solve systems of equations,8,,Algebra,Reasoning with Equations and Inequalities,Represent a system of linear equations as a single matrix equation in a vector variable
A.REI.9,Math,9-12,A,REI,Solve systems of equations,9,,Algebra,Reasoning with Equations and Inequalities,Find the inverse of a matrix if it exists and use it to solve systems of linear equations (using technology for matrices of dimension 3 _ 3 or greater)
A.REI.10,Math,9-12,A,REI,Represent and solve equations and inequalities graphically,10,,Algebra,Reasoning with Equations and Inequalities,"Understand that the graph of an equation in two variables is the set of all its solutions plotted in the coordinate plane, often forming a curve (which could be a line)."
A.REI.11,Math,9-12,A,REI,Represent and solve equations and inequalities graphically,11,,Algebra,Reasoning with Equations and Inequalities,"Explain why the x-coordinates of the points where the graphs of the equations y = f(x) and y = g(x) intersect are the solutions of the equation f(x) = g(x); find the solutions approximately, e.g., using technology to graph the functions, make tables of values, or find successive approximations. Include cases where f(x) and/or g(x) are linear, polynomial, rational, absolute value, exponential, and logarithmic functions.*"
A.REI.12,Math,9-12,A,REI,Represent and solve equations and inequalities graphically,12,,Algebra,Reasoning with Equations and Inequalities,"Graph the solutions to a linear inequality in two variables as a half-plane (excluding the boundary in the case of a strict inequality), and graph the solution set to a system of linear inequalities in two variables as the intersection of the corresponding half-planes."
F.IF.1,Math,9-12,F,IF,Understand the concept of a function and use function notation,1,,Functions,Interpreting Functions,"Understand that a function from one set (called the domain) to another set (called the range) assigns to each element of the domain exactly one element of the range. If f is a function and x is an element of its domain, then f(x) denotes the output of f corresponding to the input x. The graph of f is the graph of the equation y = f(x)."
F.IF.2,Math,9-12,F,IF,Understand the concept of a function and use function notation,2,,Functions,Interpreting Functions,"Use function notation, evaluate functions for inputs in their domains, and interpret statements that use function notation in terms of a context."
F.IF.3,Math,9-12,F,IF,Understand the concept of a function and use function notation,3,,Functions,Interpreting Functions,"Recognize that sequences are functions, sometimes defined recursively, whose domain is a subset of the integers. For example, the Fibonacci sequence is defined recursively by f(0) = f(1) = 1, f(n+1) = f(n) + f(n-1) for n ? 1 (n is greater than or equal to 1)."
F.IF.4,Math,9-12,F,IF,Interpret functions that arise in applications in terms of the context,4,,Functions,Interpreting Functions,"For a function that models a relationship between two quantities, interpret key features of graphs and tables in terms of the quantities, and sketch graphs showing key features given a verbal description of the relationship. Key features include: intercepts; intervals where the function is increasing, decreasing, positive, or negative; relative maximums and minimums; symmetries; end behavior; and periodicity.*"
F.IF.5,Math,9-12,F,IF,Interpret functions that arise in applications in terms of the context,5,,Functions,Interpreting Functions,"Relate the domain of a function to its graph and, where applicable, to the quantitative relationship it describes. For example, if the function h(n) gives the number of person-hours it takes to assemble n engines in a factory, then the positive integers would be an appropriate domain for the function.*"
F.IF.6,Math,9-12,F,IF,Interpret functions that arise in applications in terms of the context,6,,Functions,Interpreting Functions,Calculate and interpret the average rate of change of a function (presented symbolically or as a table) over a specified interval. Estimate the rate of change from a graph.*
F.IF.7,Math,9-12,F,IF,Analyze functions using different representations,7,,Functions,Interpreting Functions,"Graph functions expressed symbolically and show key features of the graph, by hand in simple cases and using technology for more complicated cases.*"
F.IF.7a,Math,9-12,F,IF,Analyze functions using different representations,7,a,Functions,Interpreting Functions,"Graph linear and quadratic functions and show intercepts, maxima, and minima.*"
F.IF.7b,Math,9-12,F,IF,Analyze functions using different representations,7,b,Functions,Interpreting Functions,"Graph square root, cube root, and piecewise-defined functions, including step functions and absolute value functions.*"
F.IF.7c,Math,9-12,F,IF,Analyze functions using different representations,7,c,Functions,Interpreting Functions,"Graph polynomial functions, identifying zeros when suitable factorizations are available, and showing end behavior.*"
F.IF.7d,Math,9-12,F,IF,Analyze functions using different representations,7,d,Functions,Interpreting Functions,"Graph rational functions, identifying zeros and asymptotes when suitable factorizations are available, and showing end behavior."
F.IF.7e,Math,9-12,F,IF,Analyze functions using different representations,7,e,Functions,Interpreting Functions,"Graph exponential and logarithmic functions, showing intercepts and end behavior, and trigonometric functions, showing period, midline, and amplitude.*"
F.IF.8,Math,9-12,F,IF,Analyze functions using different representations,8,,Functions,Interpreting Functions,Write a function defined by an expression in different but equivalent forms to reveal and explain different properties of the function.
F.IF.8a,Math,9-12,F,IF,Analyze functions using different representations,8,a,Functions,Interpreting Functions,"Use the process of factoring and completing the square in a quadratic function to show zeros, extreme values, and symmetry of the graph, and interpret these in terms of a context."
F.IF.8b,Math,9-12,F,IF,Analyze functions using different representations,8,b,Functions,Interpreting Functions,"Use the properties of exponents to interpret expressions for exponential functions. For example, identify percent rate of change in functions such as y = (1.02)^t, y = (0.97)^t, y = (1.01)^(12t), y = (1.2)^(t/10), and classify them as representing exponential growth and decay."
F.IF.9,Math,9-12,F,IF,Analyze functions using different representations,9,,Functions,Interpreting Functions,"Compare properties of two functions each represented in a different way (algebraically, graphically, numerically in tables, or by verbal descriptions). For example, given a graph of one quadratic function and an algebraic expression for another, say which has the larger maximum."
F.BF.1,Math,9-12,F,BF,Build a function that models a relationship between two quantities,1,,Functions,Building Functions,Write a function that describes a relationship between two quantities.*
F.BF.1a,Math,9-12,F,BF,Build a function that models a relationship between two quantities,1,a,Functions,Building Functions,"Determine an explicit expression, a recursive process, or steps for calculation from a context."
F.BF.1b,Math,9-12,F,BF,Build a function that models a relationship between two quantities,1,b,Functions,Building Functions,"Combine standard function types using arithmetic operations. For example, build a function that models the temperature of a cooling body by adding a constant function to a decaying exponential, and relate these functions to the model."
F.BF.1c,Math,9-12,F,BF,Build a function that models a relationship between two quantities,1,c,Functions,Building Functions,"Compose functions. For example, if T(y) is the temperature in the atmosphere as a function of height, and h(t) is the height of a weather balloon as a function of time, then T(h(t)) is the temperature at the location of the weather balloon as a function of time"
F.BF.2,Math,9-12,F,BF,Build a function that models a relationship between two quantities,2,,Functions,Building Functions,"Write arithmetic and geometric sequences both recursively and with an explicit formula, use them to model situations, and translate between the two forms.*"
F.BF.3,Math,9-12,F,BF,Build new functions from existing functions,3,,Functions,Building Functions,"Identify the effect on the graph of replacing f(x) by f(x) + k, k f(x), f(kx), and f(x + k) for specific values of k (both positive and negative); find the value of k given the graphs. Experiment with cases and illustrate an explanation of the effects on the graph using technology. Include recognizing even and odd functions from their graphs and algebraic expressions for them."
F.BF.4,Math,9-12,F,BF,Build new functions from existing functions,4,,Functions,Building Functions,Find inverse functions.
F.BF.4a,Math,9-12,F,BF,Build new functions from existing functions,4,a,Functions,Building Functions,"Solve an equation of the form f(x) = c for a simple function f that has an inverse and write an expression for the inverse. For example, f(x) =2(x^3) or f(x) = (x+1)/(x-1) for x ? 1 (x not equal to 1)."
F.BF.4b,Math,9-12,F,BF,Build new functions from existing functions,4,b,Functions,Building Functions,Verify by composition that one function is the inverse of another
F.BF.4c,Math,9-12,F,BF,Build new functions from existing functions,4,c,Functions,Building Functions,"Read values of an inverse function from a graph or a table, given that the function has an inverse"
F.BF.4d,Math,9-12,F,BF,Build new functions from existing functions,4,d,Functions,Building Functions,Produce an invertible function from a non-invertible function by restricting the domain
F.BF.5,Math,9-12,F,BF,Build new functions from existing functions,5,,Functions,Building Functions,Understand the inverse relationship between exponents and logarithms and use this relationship to solve problems involving logarithms and exponents
F.LE.1,Math,9-12,F,LE,"Construct and compare linear, quadratic, and exponential models and solve problems",1,,Functions,Linear and Exponential Models,Distinguish between situations that can be modeled with linear functions and with exponential functions.*
F.LE.1a,Math,9-12,F,LE,"Construct and compare linear, quadratic, and exponential models and solve problems",1,a,Functions,Linear and Exponential Models,Prove that linear functions grow by equal differences over equal intervals and that exponential functions grow by equal factors over equal intervals.*
F.LE.1b,Math,9-12,F,LE,"Construct and compare linear, quadratic, and exponential models and solve problems",1,b,Functions,Linear and Exponential Models,Recognize situations in which one quantity changes at a constant rate per unit interval relative to another.*
F.LE.1c,Math,9-12,F,LE,"Construct and compare linear, quadratic, and exponential models and solve problems",1,c,Functions,Linear and Exponential Models,Recognize situations in which a quantity grows or decays by a constant percent rate per unit interval relative to another.*
F.LE.2,Math,9-12,F,LE,"Construct and compare linear, quadratic, and exponential models and solve problems",2,,Functions,Linear and Exponential Models,"Construct linear and exponential functions, including arithmetic and geometric sequences, given a graph, a description of a relationship, or two input-output pairs (include reading these from a table).*"
F.LE.3,Math,9-12,F,LE,"Construct and compare linear, quadratic, and exponential models and solve problems",3,,Functions,Linear and Exponential Models,"Observe using graphs and tables that a quantity increasing exponentially eventually exceeds a quantity increasing linearly, quadratically, or (more generally) as a polynomial function.*"
F.LE.4,Math,9-12,F,LE,"Construct and compare linear, quadratic, and exponential models and solve problems",4,,Functions,Linear and Exponential Models,"For exponential models, express as a logarithm the solution to ab^(ct) = d where a, c, and d are numbers and the base b is 2, 10, or e; evaluate the logarithm using technology.*"
F.LE.5,Math,9-12,F,LE,Interpret expressions for functions in terms of the situation they model,5,,Functions,Linear and Exponential Models,Interpret the parameters in a linear or exponential function in terms of a context.*
F.TF.1,Math,9-12,F,TF,Extend the domain of trigonometric functions using the unit circle,1,,Functions,Trigonometric Functions,Understand radian measure of an angle as the length of the arc on the unit circle subtended by the angle.
F.TF.2,Math,9-12,F,TF,Extend the domain of trigonometric functions using the unit circle,2,,Functions,Trigonometric Functions,"Explain how the unit circle in the coordinate plane enables the extension of trigonometric functions to all real numbers, interpreted as radian measures of angles traversed counterclockwise around the unit circle."
F.TF.3,Math,9-12,F,TF,Extend the domain of trigonometric functions using the unit circle,3,,Functions,Trigonometric Functions,"Use special triangles to determine geometrically the values of sine, cosine, tangent for ?/3, ?/4 and ?/6, and use the unit circle to express the values of sine, cosine, and tangent for ? - x, ? + x, and 2? - x in terms of their values for x, where x is any real number"
F.TF.4,Math,9-12,F,TF,Extend the domain of trigonometric functions using the unit circle,4,,Functions,Trigonometric Functions,Use the unit circle to explain symmetry (odd and even) and periodicity of trigonometric functions
F.TF.5,Math,9-12,F,TF,Model periodic phenomena with trigonometric functions,5,,Functions,Trigonometric Functions,"Choose trigonometric functions to model periodic phenomena with specified amplitude, frequency, and midline.*"
F.TF.6,Math,9-12,F,TF,Model periodic phenomena with trigonometric functions,6,,Functions,Trigonometric Functions,Understand that restricting a trigonometric function to a domain on which it is always increasing or always decreasing allows its inverse to be constructed
F.TF.7,Math,9-12,F,TF,Model periodic phenomena with trigonometric functions,7,,Functions,Trigonometric Functions,"Use inverse functions to solve trigonometric equations that arise in modeling contexts; evaluate the solutions using technology, and interpret them in terms of the context."
F.TF.8,Math,9-12,F,TF,Prove and apply trigonometric identities,8,,Functions,Trigonometric Functions,Prove the Pythagorean identity (sin A)^2 + (cos A)^2 = 1 and use it to calculate trigonometric ratios.
F.TF.9,Math,9-12,F,TF,Prove and apply trigonometric identities,9,,Functions,Trigonometric Functions,"Prove the addition and subtraction formulas for sine, cosine, and tangent and use them to solve problems"
G.CO.1,Math,9-12,G,CO,Experiment with transformations in the plane,1,,Geometry,Congruence,"Know precise definitions of angle, circle, perpendicular line, parallel line, and line segment, based on the undefined notions of point, line, distance along a line, and distance around a circular arc."
G.CO.2,Math,9-12,G,CO,Experiment with transformations in the plane,2,,Geometry,Congruence,"Represent transformations in the plane using, e.g., transparencies and geometry software; describe transformations as functions that take points in the plane as inputs and give other points as outputs. Compare transformations that preserve distance and angle to those that do not (e.g., translation versus horizontal stretch)."
G.CO.3,Math,9-12,G,CO,Experiment with transformations in the plane,3,,Geometry,Congruence,"Given a rectangle, parallelogram, trapezoid, or regular polygon, describe the rotations and reflections that carry it onto itself."
G.CO.4,Math,9-12,G,CO,Experiment with transformations in the plane,4,,Geometry,Congruence,"Develop definitions of rotations, reflections, and translations in terms of angles, circles, perpendicular lines, parallel lines, and line segments."
G.CO.5,Math,9-12,G,CO,Experiment with transformations in the plane,5,,Geometry,Congruence,"Given a geometric figure and a rotation, reflection, or translation, draw the transformed figure using, e.g., graph paper, tracing paper, or geometry software. Specify a sequence of transformations that will carry a given figure onto another."
G.CO.6,Math,9-12,G,CO,Understand congruence in terms of rigid motions,6,,Geometry,Congruence,"Use geometric descriptions of rigid motions to transform figures and to predict the effect of a given rigid motion on a given figure; given two figures, use the definition of congruence in terms of rigid motions to decide if they are congruent."
G.CO.7,Math,9-12,G,CO,Understand congruence in terms of rigid motions,7,,Geometry,Congruence,Use the definition of congruence in terms of rigid motions to show that two triangles are congruent if and only if corresponding pairs of sides and corresponding pairs of angles are congruent.
G.CO.8,Math,9-12,G,CO,Understand congruence in terms of rigid motions,8,,Geometry,Congruence,"Explain how the criteria for triangle congruence (ASA, SAS, and SSS) follow from the definition of congruence in terms of rigid motions."
G.CO.9,Math,9-12,G,CO,prove geometric theorems,9,,Geometry,Congruence,"Prove theorems about lines and angles. Theorems include: vertical angles are congruent; when a transversal crosses parallel lines, alternate interior angles are congruent and corresponding angles are congruent; points on a perpendicular bisector of a line segment are exactly those equidistant from the segmentÕs endpoints."
G.CO.10,Math,9-12,G,CO,prove geometric theorems,10,,Geometry,Congruence,Prove theorems about triangles. Theorems include: measures of interior angles of a triangle sum to 180 degrees; base angles of isosceles triangles are congruent; the segment joining midpoints of two sides of a triangle is parallel to the third side and half the length; the medians of a triangle meet at a point.
G.CO.11,Math,9-12,G,CO,prove geometric theorems,11,,Geometry,Congruence,"Prove theorems about parallelograms. Theorems include: opposite sides are congruent, opposite angles are congruent, the diagonals of a parallelogram bisect each other, and conversely, rectangles are parallelograms with congruent diagonals."
G.CO.12,Math,9-12,G,CO,Make geometric constructions,12,,Geometry,Congruence,"Make formal geometric constructions with a variety of tools and methods (compass and straightedge, string, reflective devices, paper folding, dynamic geometric software, etc.). Copying a segment; copying an angle; bisecting a segment; bisecting an angle; constructing perpendicular lines, including the perpendicular bisector of a line segment; and constructing a line parallel to a given line through a point not on the line."
G.CO.13,Math,9-12,G,CO,Make geometric constructions,13,,Geometry,Congruence,"Construct an equilateral triangle, a square, and a regular hexagon inscribed in a circle."
