Standard Code,Subject,Grade,Domain,Strand,Cluster,Standard,Substandard,Category,Subcategory,Description
4.MD.3,Math,4,MD,,Solve problems involving measurement and conversion of measurements from a larger unit to a smaller unit.,3,,Measurement and Data,,"Apply the area and perimeter formulas for rectangles in real world and mathematical problems. For example, find the width of a rectangular room given the area of the flooring and the length, by viewing the area formula as a multiplication equation with an unknown factor."
4.MD.4,Math,4,MD,,Represent and interpret data.,4,,Measurement and Data,,"Make a line plot to display a data set of measurements in fractions of a unit (1/2, 1/4, 1/8). Solve problems involving addition and subtraction of fractions by using information presented in line plots. For example, from a line plot find and interpret the difference in length between the longest and shortest specimens in an insect collection."
4.MD.5,Math,4,MD,,Geometric measurement: understand concepts of angle and measure angles.,5,,Measurement and Data,,"Geometric measurement: Recognize angles as geometric shapes that are formed wherever two rays share a common endpoint, and understand concepts of angle measurement:"
4.MD.5a,Math,4,MD,,Geometric measurement: understand concepts of angle and measure angles.,5,a,Measurement and Data,,"An angle is measured with reference to a circle with its center at the common endpoint of the rays, by considering the fraction of the circular arc between the points where the two rays intersect the circle. An angle that turns through 1/360 of a circle is called a ""one-degree angle"", and can be used to measure angles."
4.MD.5b,Math,4,MD,,Geometric measurement: understand concepts of angle and measure angles.,5,b,Measurement and Data,,An angle that turns through n one-degree angles is said to have an angle measure of n degrees.
4.MD.6,Math,4,MD,,Geometric measurement: understand concepts of angle and measure angles.,6,,Measurement and Data,,Geometric measurement: Measure angles in whole-number degrees using a protractor. Sketch angles of specified measure.
4.MD.7,Math,4,MD,,Geometric measurement: understand concepts of angle and measure angles.,7,,Measurement and Data,,"Geometric measurement: Recognize angle measure as additive. When an angle is decomposed into non-overlapping parts, the angle measure of the whole is the sum of the angle measures of the parts. Solve addition and subtraction problems to find unknown angles on a diagram in real world and mathematical problems, e.g., by using an equation with a symbol for the unknown angle measure."
4.G.1,Math,4,G,,"Draw and identify lines and angles, and classify shapes by properties of their lines and angles.",1,,Geometry,,"Draw points, lines, line segments, rays, angles (right, acute, obtuse), and perpendicular and parallel lines. Identify these in two-dimensional figures."
4.G.2,Math,4,G,,"Draw and identify lines and angles, and classify shapes by properties of their lines and angles.",2,,Geometry,,"Classify two-dimensional figures based on the presence or absence of parallel or perpendicular lines, or the presence or absence of angles of a specified size. Recognize right triangles as a category, and identify right triangles."
4.G.3,Math,4,G,,"Draw and identify lines and angles, and classify shapes by properties of their lines and angles.",3,,Geometry,,Recognize a line of symmetry for a two-dimensional figure as a line across the figure such that the figure can be folded along the line into matching parts. Identify line-symmetric figures and draw lines of symmetry.
