Standard Code,Subject,Grade,Domain,Strand,Standard,Substandard,Category,Subcategory,Description
3.L.4c,Lang/Arts,3,L,,4,c,Language Standards,Vocabulary Acquisition and Use,"Use a known root word as a clue to the meaning of an unknown word with the same root (e.g., company, companion)."
3.L.4d,Lang/Arts,3,L,,4,d,Language Standards,Vocabulary Acquisition and Use,"Use glossaries or beginning dictionaries, both print and digital, to determine or clarify the precise meaning of key words and phrases."
3.L.5,Lang/Arts,3,L,,5,,Language Standards,Vocabulary Acquisition and Use,Demonstrate understanding of word relationships and nuances in word meanings.
3.L.5a,Lang/Arts,3,L,,5,a,Language Standards,Vocabulary Acquisition and Use,"Distinguish the literal and nonliteral meanings of words and phrases in context (e.g., take steps)."
3.L.5b,Lang/Arts,3,L,,5,b,Language Standards,Vocabulary Acquisition and Use,"Identify real-life connections between words and their use (e.g., describe people who are friendly or helpful)."
3.L.5c,Lang/Arts,3,L,,5,c,Language Standards,Vocabulary Acquisition and Use,"Distinguish shades of meaning among related words that describe states of mind or degrees of certainty (e.g., knew, believed, suspected, heard, wondered)."
3.L.6,Lang/Arts,3,L,,6,,Language Standards,Vocabulary Acquisition and Use,"Acquire and use accurately grade-appropriate conversational, general academic, and domain-specific words and phrases, including those that signal spatial and temporal relationships (e.g., After dinner that night we went looking for them)."
3.RF.3,Lang/Arts,3,RF,,3,,Reading Standards: Foundational Skills,Phonics and Word Recognition,Know and apply grade-level phonics and word analysis skills in decoding words.
3.RF.3a,Lang/Arts,3,RF,,3,a,Reading Standards: Foundational Skills,Phonics and Word Recognition,Identify and know the meaning of the most common prefixes and derivational suffixes.
3.RF.3b,Lang/Arts,3,RF,,3,b,Reading Standards: Foundational Skills,Phonics and Word Recognition,Decode words with common Latin suffixes.
3.RF.3c,Lang/Arts,3,RF,,3,c,Reading Standards: Foundational Skills,Phonics and Word Recognition,Decode multisyllable words.
3.RF.3d,Lang/Arts,3,RF,,3,d,Reading Standards: Foundational Skills,Phonics and Word Recognition,Read grade-appropriate irregularly spelled words.
3.RF.4,Lang/Arts,3,RF,,4,,Reading Standards: Foundational Skills,Fluency,Read with sufficient accuracy and fluency to support comprehension.
3.RF.4a,Lang/Arts,3,RF,,4,a,Reading Standards: Foundational Skills,Fluency,Read grade-level text with purpose and understanding.
3.RF.4b,Lang/Arts,3,RF,,4,b,Reading Standards: Foundational Skills,Fluency,"Read grade-level prose and poetry orally with accuracy, appropriate rate, and expression."
3.RF.4c,Lang/Arts,3,RF,,4,c,Reading Standards: Foundational Skills,Fluency,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary."
3.RI.1,Lang/Arts,3,RI,,1,,Reading Standards for Informational Text,Key Ideas and Details,"Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers."
3.RI.2,Lang/Arts,3,RI,,2,,Reading Standards for Informational Text,Key Ideas and Details,Determine the main idea of a text; recount the key details and explain how they support the main idea.
3.RI.3,Lang/Arts,3,RI,,3,,Reading Standards for Informational Text,Key Ideas and Details,"Describe the relationship between a series of historical events, scientific ideas or concepts, or steps in technical procedures in a text, using language that pertains to time, sequence, and cause/effect."
3.RI.4,Lang/Arts,3,RI,,4,,Reading Standards for Informational Text,Craft and Structure,Determine the meaning of general academic and domain-specific words and phrases in a text relevant to a grade 3 topic or subject area.
3.RI.5,Lang/Arts,3,RI,,5,,Reading Standards for Informational Text,Craft and Structure,"Use text features and search tools (e.g., key words, sidebars, hyperlinks) to locate information relevant to a given topic efficiently."
3.RI.6,Lang/Arts,3,RI,,6,,Reading Standards for Informational Text,Craft and Structure,Distinguish their own point of view from that of the author of a text.
3.RI.7,Lang/Arts,3,RI,,7,,Reading Standards for Informational Text,Integration of Knowledge and Ideas,"Use information gained from illustrations (e.g., maps, photographs) and the words in a text to demonstrate understanding of the text (e.g., where, when, why, and how key events occur)."
3.RI.8,Lang/Arts,3,RI,,8,,Reading Standards for Informational Text,Integration of Knowledge and Ideas,"Describe the logical connection between particular sentences and paragraphs in a text (e.g., comparison, cause/effect, first/second/third in a sequence)."
3.RI.9,Lang/Arts,3,RI,,9,,Reading Standards for Informational Text,Integration of Knowledge and Ideas,Compare and contrast the most important points and key details presented in two texts on the same topic.
3.RI.10,Lang/Arts,3,RI,,10,,Reading Standards for Informational Text,Range of Reading and Level of Text Complexity,"By the end of the year, read and comprehend informational texts, including history/social studies, science, and technical texts, at the high end of the grades 2–3 text complexity band independently and proficiently."
3.RL.1,Lang/Arts,3,RL,,1,,Reading Standards for Literature,Key Ideas and Details,"Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers."
3.RL.2,Lang/Arts,3,RL,,2,,Reading Standards for Literature,Key Ideas and Details,"Recount stories, including fables, folktales, and myths from diverse cultures; determine the central message, lesson, or moral and explain how it is conveyed through key details in the text."
3.RL.3,Lang/Arts,3,RL,,3,,Reading Standards for Literature,Key Ideas and Details,"Describe characters in a story (e.g., their traits, motivations, or feelings) and explain how their actions contribute to the sequence of events."
3.RL.4,Lang/Arts,3,RL,,4,,Reading Standards for Literature,Craft and Structure,"Determine the meaning of words and phrases as they are used in a text, distinguishing literal from nonliteral language."
3.RL.5,Lang/Arts,3,RL,,5,,Reading Standards for Literature,Craft and Structure,"Refer to parts of stories, dramas, and poems when writing or speaking about a text, using terms such as chapter, scene, and stanza; describe how each successive part builds on earlier sections."
3.RL.6,Lang/Arts,3,RL,,6,,Reading Standards for Literature,Craft and Structure,Distinguish their own point of view from that of the narrator or those of the characters.
3.RL.7,Lang/Arts,3,RL,,7,,Reading Standards for Literature,Integration of Knowledge and Ideas,"Explain how specific aspects of a text’s illustrations contribute to what is conveyed by the words in a story (e.g., create mood, emphasize aspects of a character or setting)."
3.RL.9,Lang/Arts,3,RL,,9,,Reading Standards for Literature,Integration of Knowledge and Ideas,"Compare and contrast the themes, settings, and plots of stories written by the same author about the same or similar characters (e.g., in books from a series)."
3.RL.10,Lang/Arts,3,RL,,10,,Reading Standards for Literature,Range of Reading and Complexity of Text,"10. By the end of the year, read and comprehend literature, including stories, dramas, and poetry, at the high end of the grades 2–3 text complexity band independently and proficiently."
3.SL.1,Lang/Arts,3,SL,,1,,Speaking and Listening Standards,Comprehension and Collaboration,"Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grade 3 topics and texts, building on others’ ideas and expressing their own clearly."
3.SL.1a,Lang/Arts,3,SL,,1,a,Speaking and Listening Standards,Comprehension and Collaboration,"Come to discussions prepared, having read or studied required material; explicitly draw on that preparation and other information known about the topic to explore ideas under discussion."
3.SL.1b,Lang/Arts,3,SL,,1,b,Speaking and Listening Standards,Comprehension and Collaboration,"Follow agreed-upon rules for discussions (e.g., gaining the floor in respectful ways, listening to others with care, speaking one at a time about the topics and texts under discussion)."
3.SL.1c,Lang/Arts,3,SL,,1,c,Speaking and Listening Standards,Comprehension and Collaboration,"Ask questions to check understanding of information presented, stay on topic, and link their comments to the remarks of others."
3.SL.1d,Lang/Arts,3,SL,,1,d,Speaking and Listening Standards,Comprehension and Collaboration,Explain their own ideas and understanding in light of the discussion.
3.SL.2,Lang/Arts,3,SL,,2,,Speaking and Listening Standards,Comprehension and Collaboration,"Determine the main ideas and supporting details of a text read aloud or information presented in diverse media and formats, including visually, quantitatively, and orally."
3.SL.3,Lang/Arts,3,SL,,3,,Speaking and Listening Standards,Comprehension and Collaboration,"Ask and answer questions about information from a speaker, offering appropriate elaboration and detail."
3.SL.4,Lang/Arts,3,SL,,4,,Speaking and Listening Standards,Presentation of Knowledge and Ideas,"Report on a topic or text, tell a story, or recount an experience with appropriate facts and relevant, descriptive details, speaking clearly at an understandable pace."
3.SL.5,Lang/Arts,3,SL,,5,,Speaking and Listening Standards,Presentation of Knowledge and Ideas,Create engaging audio recordings of stories or poems that demonstrate fluid reading at an understandable pace; add visual displays when appropriate to emphasize or enhance certain facts or details.
3.SL.6,Lang/Arts,3,SL,,6,,Speaking and Listening Standards,Presentation of Knowledge and Ideas,Speak in complete sentences when appropriate to task and situation in order to provide requested detail or clarification. (See grade 3 Language standards 1 and 3 on page 26 for specific expectations.)
3.W.1,Lang/Arts,3,W,,1,,Writing Standards,Text Types and Purposes,"Write opinion pieces on familiar topics or texts, supporting a point of view with reasons."
3.W.1a,Lang/Arts,3,W,,1,a,Writing Standards,Text Types and Purposes,"Introduce the topic or text they are writing about, state an opinion, and create an organizational structure that lists reasons."
3.W.1b,Lang/Arts,3,W,,1,b,Writing Standards,Text Types and Purposes,Provide reasons that support the opinion.
3.W.1c,Lang/Arts,3,W,,1,c,Writing Standards,Text Types and Purposes,"Use linking words and phrases (e.g., because, therefore, since, for example) to connect opinion and reasons."
3.W.1d,Lang/Arts,3,W,,1,d,Writing Standards,Text Types and Purposes,Provide a concluding statement or section.
3.W.2,Lang/Arts,3,W,,2,,Writing Standards,Text Types and Purposes,Write informative/explanatory texts to examine a topic and convey ideas and information clearly.
3.W.2a,Lang/Arts,3,W,,2,a,Writing Standards,Text Types and Purposes,Introduce a topic and group related information together; include illustrations when useful to aiding comprehension.
3.W.2b,Lang/Arts,3,W,,2,b,Writing Standards,Text Types and Purposes,"Develop the topic with facts, definitions, and details."
3.W.2c,Lang/Arts,3,W,,2,c,Writing Standards,Text Types and Purposes,"Use linking words and phrases (e.g., also, another, and, more, but) to connect ideas within categories of information."
3.W.2d,Lang/Arts,3,W,,2,d,Writing Standards,Text Types and Purposes,Provide a concluding statement or section.
3.W.3,Lang/Arts,3,W,,3,,Writing Standards,Text Types and Purposes,"Write narratives to develop real or imagined experiences or events using effective technique, descriptive details, and clear event sequences."
3.W.3a,Lang/Arts,3,W,,3,a,Writing Standards,Text Types and Purposes,Establish a situation and introduce a narrator and/or characters; organize an event sequence that unfolds naturally.
3.W.3b,Lang/Arts,3,W,,3,b,Writing Standards,Text Types and Purposes,"Use dialogue and descriptions of actions, thoughts, and feelings to develop experiences and events or show the response of characters to situations."
3.W.3c,Lang/Arts,3,W,,3,c,Writing Standards,Text Types and Purposes,Use temporal words and phrases to signal event order.
3.W.3d,Lang/Arts,3,W,,3,d,Writing Standards,Text Types and Purposes,Provide a sense of closure.
3.W.4,Lang/Arts,3,W,,4,,Writing Standards,Production and Distribution of Writing,"With guidance and support from adults, produce writing in which the development and organization are appropriate to task and purpose. (Grade-specific expectations for writing types are defined in standards 1–3 above.)"
3.W.5,Lang/Arts,3,W,,5,,Writing Standards,Production and Distribution of Writing,"With guidance and support from peers and adults, develop and strengthen writing as needed by planning, revising, and editing. (Editing for conventions should demonstrate command of Language standards 1–3 up to and including grade 3 on page 29.)"
3.W.6,Lang/Arts,3,W,,6,,Writing Standards,Production and Distribution of Writing,"With guidance and support from adults, use technology to produce and publish writing (using keyboarding skills) as well as to interact and collaborate with others."
3.W.7,Lang/Arts,3,W,,7,,Writing Standards,Research to Build and Present Knowledge,Conduct short research projects that build knowledge about a topic.
3.W.8,Lang/Arts,3,W,,8,,Writing Standards,Research to Build and Present Knowledge,Recall information from experiences or gather information from print and digital sources; take brief notes on sources and sort evidence into provided categories.
3.W.10,Lang/Arts,3,W,,10,,Writing Standards,Range of Writing,"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of discipline-specific tasks, purposes, and audiences."
