Standard Code,Subject,Grade,Domain,Strand,Standard,Substandard,Category,Sub Category,Description (NEW)
11-12.RI.3,Lang/Arts,11-12,RI,,3,,Reading Standards for Informational Text,Key Ideas and Details,"Analyze a complex set of ideas or sequence of events and explain how specific individuals, ideas, or events interact and develop over the course of the text."
11-12.RI.4,Lang/Arts,11-12,RI,,4,,Reading Standards for Informational Text,Craft and Structure,"Determine the meaning of words and phrases as they are used in a text, including figurative, connotative, and technical meanings; analyze how an author uses and refines the meaning of a key term or terms over the course of a text (e.g., how Madison defines faction in Federalist No. 10)."
11-12.RI.5,Lang/Arts,11-12,RI,,5,,Reading Standards for Informational Text,Craft and Structure,"Analyze and evaluate the effectiveness of the structure an author uses in his or her exposition or argument, including whether the structure makes points clear, convincing, and engaging."
11-12.RI.6,Lang/Arts,11-12,RI,,6,,Reading Standards for Informational Text,Craft and Structure,"Determine an author’s point of view or purpose in a text in which the rhetoric is particularly effective, analyzing how style and content contribute to the power, persuasiveness, or beauty of the text."
11-12.RI.7,Lang/Arts,11-12,RI,,7,,Reading Standards for Informational Text,Integration of Knowledge and Ideas,"Integrate and evaluate multiple sources of information presented in different media or formats (e.g., visually, quantitatively) as well as in words in order to address a question or solve a problem."
11-12.RI.8,Lang/Arts,11-12,RI,,8,,Reading Standards for Informational Text,Integration of Knowledge and Ideas,"Delineate and evaluate the reasoning in seminal U.S. texts, including the application of constitutional principles and use of legal reasoning (e.g., in U.S. Supreme Court majority opinions and dissents) and the premises, purposes, and arguments in works of public advocacy (e.g., The Federalist, presidential addresses)."
11-12.RI.9,Lang/Arts,11-12,RI,,9,,Reading Standards for Informational Text,Integration of Knowledge and Ideas,"Analyze seventeenth-, eighteenth-, and nineteenth-century foundational U.S. documents of historical and literary significance (including The Declaration of Independence, the Preamble to the Constitution, the Bill of Rights, and Lincoln’s Second Inaugural Address) for their themes, purposes, and rhetorical features."
11-12.RI.10,Lang/Arts,11-12,RI,,10,,Reading Standards for Informational Text,Range of Reading and Level of Text Complexity,"By the end of grade 11, read and comprehend literary nonfiction in the grades 11–CCR text complexity band proficiently, with scaffolding as needed at the high end of the range. By the end of grade 12, read and comprehend literary nonfiction at the high end of the grades 11–CCR text complexity band independently and proficiently."
11-12.RL.1,Lang/Arts,11-12,RL,,1,,Reading Standards for Literature,Key Ideas and Details,"Cite strong and thorough textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text, including determining where the text leaves matters uncertain."
11-12.RL.2,Lang/Arts,11-12,RL,,2,,Reading Standards for Literature,Key Ideas and Details,"Determine two or more themes or central ideas of a text and analyze their development over the course of the text, including how they interact and build on one another to produce a complex account; provide an objective summary of the text."
11-12.RL.3,Lang/Arts,11-12,RL,,3,,Reading Standards for Literature,Key Ideas and Details,"Analyze the impact of the author’s choices regarding how to develop and relate elements of a story or drama (e.g., where a story is set, how the action is ordered, how the characters are introduced and developed)."
11-12.RL.4,Lang/Arts,11-12,RL,,4,,Reading Standards for Literature,Craft and Structure,"Determine the meaning of words and phrases as they are used in the text, including figurative and connotative meanings; analyze the impact of specific word choices on meaning and tone, including words with multiple meanings or language that is particularly fresh, engaging, or beautiful. (Include Shakespeare as well as other authors.)"
11-12.RL.5,Lang/Arts,11-12,RL,,5,,Reading Standards for Literature,Craft and Structure,"Analyze how an author’s choices concerning how to structure specific parts of a text (e.g., the choice of where to begin or end a story, the choice to provide a comedic or tragic resolution) contribute to its overall structure and meaning as well as its aesthetic impact."
11-12.RL.6,Lang/Arts,11-12,RL,,6,,Reading Standards for Literature,Craft and Structure,"Analyze a case in which grasping point of view requires distinguishing what is directly stated in a text from what is really meant (e.g., satire, sarcasm, irony, or understatement)."
11-12.RL.7,Lang/Arts,11-12,RL,,7,,Reading Standards for Literature,Integration of Knowledge and Ideas,"Analyze multiple interpretations of a story, drama, or poem (e.g., recorded or live production of a play or recorded novel or poetry), evaluating how each version interprets the source text. (Include at least one play by Shakespeare and one play by an American dramatist.)"
11-12.RL.9,Lang/Arts,11-12,RL,,9,,Reading Standards for Literature,Integration of Knowledge and Ideas,"Demonstrate knowledge of eighteenth-, nineteenth- and early-twentieth-century foundational works of American literature, including how two or more texts from the same period treat similar themes or topics."
11-12.RL.10,Lang/Arts,11-12,RL,,10,,Reading Standards for Literature,Range of Reading and Level of Text Complexity,"By the end of grade 11, read and comprehend literature, including stories, dramas, and poems, in the grades 11–CCR text complexity band proficiently, with scaffolding as needed at the high end of the range. By the end of grade 12, read and comprehend literature, including stories, dramas, and poems, at the high end of the grades 11–CCR text complexity band independently and proficiently."
11-12.SL.1,Lang/Arts,11-12,SL,,1,,Speaking and Listening Standards,Comprehension and Collaboration,"Initiate and participate effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grades 11–12 topics, texts, and issues, building on others’ ideas and expressing their own clearly and persuasively."
11-12.SL.1a,Lang/Arts,11-12,SL,,1,a,Speaking and Listening Standards,Comprehension and Collaboration,"Come to discussions prepared, having read and researched material under study; explicitly draw on that preparation by referring to evidence from texts and other research on the topic or issue to stimulate a thoughtful, well-reasoned exchange of ideas."
11-12.SL.1b,Lang/Arts,11-12,SL,,1,b,Speaking and Listening Standards,Comprehension and Collaboration,"Work with peers to promote civil, democratic discussions and decision-making, set clear goals and deadlines, and establish individual roles as needed."
11-12.SL.1c,Lang/Arts,11-12,SL,,1,c,Speaking and Listening Standards,Comprehension and Collaboration,"Propel conversations by posing and responding to questions that probe reasoning and evidence; ensure a hearing for a full range of positions on a topic or issue; clarify, verify, or challenge ideas and conclusions; and promote divergent and creative perspectives."
11-12.SL.1d,Lang/Arts,11-12,SL,,1,d,Speaking and Listening Standards,Comprehension and Collaboration,"Respond thoughtfully to diverse perspectives; synthesize comments, claims, and evidence made on all sides of an issue; resolve contradictions when possible; and determine what additional information or research is required to deepen the investigation or complete the task."
11-12.SL.2,Lang/Arts,11-12,SL,,2,,Speaking and Listening Standards,Comprehension and Collaboration,"Integrate multiple sources of information presented in diverse formats and media (e.g., visually, quantitatively, orally) in order to make informed decisions and solve problems, evaluating the credibility and accuracy of each source and noting any discrepancies among the data."
11-12.SL.3,Lang/Arts,11-12,SL,,3,,Speaking and Listening Standards,Comprehension and Collaboration,"Evaluate a speaker’s point of view, reasoning, and use of evidence and rhetoric, assessing the stance, premises, links among ideas, word choice, points of emphasis, and tone used."
11-12.SL.4,Lang/Arts,11-12,SL,,4,,Speaking and Listening Standards,Presentation of Knowledge and Ideas,"Present information, findings, and supporting evidence, conveying a clear and distinct perspective, such that listeners can follow the line of reasoning, alternative or opposing perspectives are addressed, and the organization, development, substance, and style are appropriate to purpose, audience, and a range or formal and informal tasks."
11-12.SL.5,Lang/Arts,11-12,SL,,5,,Speaking and Listening Standards,Presentation of Knowledge and Ideas,"Make strategic use of digital media (e.g., textual, graphical, audio, visual, and interactive elements) in presentations to enhance understanding of findings, reasoning, and evidence and to add interest."
11-12.SL.6,Lang/Arts,11-12,SL,,6,,Speaking and Listening Standards,Presentation of Knowledge and Ideas,"Adapt speech to a variety of contexts and tasks, demonstrating a command of formal English when indicated or appropriate. (See grades 11-12 Language standards 1 and 3 on page 54 for specific expectations."
11-12.W.1,Lang/Arts,11-12,W,,1,,Writing Standards,Text Types and Purposes,"Write arguments to support claims in an analysis of substantive topics or texts, using valid reasoning and relevant and sufficient evidence."
11-12.W.1a,Lang/Arts,11-12,W,,1,a,Writing Standards,Text Types and Purposes,"Introduce precise, knowledgeable claim(s), establish the significance of the claim(s), distinguish the claim(s) from alternate or opposing claims, and create an organization that logically sequences claim(s), counterclaims, reasons, and evidence."
11-12.W.1b,Lang/Arts,11-12,W,,1,b,Writing Standards,Text Types and Purposes,"Develop claim(s) and counterclaims fairly and thoroughly, supplying the most relevant evidence for each while pointing out the strengths and limitations of both in a manner that anticipates the audience’s knowledge level, concerns, values, and possible biases."
11-12.W.1c,Lang/Arts,11-12,W,,1,c,Writing Standards,Text Types and Purposes,"Use words, phrases, and clauses as well as varied syntax to link the major sections of the text, create cohesion, and clarify the relationships between claim(s) and reasons, between reasons and evidence, and between claim(s) and counterclaims."
11-12.W.1d,Lang/Arts,11-12,W,,1,d,Writing Standards,Text Types and Purposes,Establish and maintain a formal style and objective tone while attending to the norms and conventions of the discipline in which they are writing.
11-12.W.1e,Lang/Arts,11-12,W,,1,e,Writing Standards,Text Types and Purposes,Provide a concluding statement or section that follows from and supports the argument presented.
11-12.W.2,Lang/Arts,11-12,W,,2,,Writing Standards,Text Types and Purposes,"Write informative/explanatory texts to examine and convey complex ideas, concepts, and information clearly and accurately through the effective selection, organization, and analysis of content."
11-12.W.2a,Lang/Arts,11-12,W,,2,a,Writing Standards,Text Types and Purposes,"Introduce a topic; organize complex ideas, concepts, and information so that each new element builds on that which precedes it to create a unified whole; include formatting (e.g., headings), graphics (e.g., figures, tables), and multimedia when useful to aiding comprehension."
11-12.W.2b,Lang/Arts,11-12,W,,2,b,Writing Standards,Text Types and Purposes,"Develop the topic thoroughly by selecting the most significant and relevant facts, extended definitions, concrete details, quotations, or other information and examples appropriate to the audience’s knowledge of the topic."
11-12.W.2c,Lang/Arts,11-12,W,,2,c,Writing Standards,Text Types and Purposes,"Use appropriate and varied transitions and syntax to link the major sections of the text, create cohesion, and clarify the relationships among complex ideas and concepts."
11-12.W.2d,Lang/Arts,11-12,W,,2,d,Writing Standards,Text Types and Purposes,"Use precise language, domain-specific vocabulary, and techniques such as metaphor, simile, and analogy to manage the complexity of the topic."
11-12.W.2e,Lang/Arts,11-12,W,,2,e,Writing Standards,Text Types and Purposes,Establish and maintain a formal style and objective tone while attending to the norms and conventions of the discipline in which they are writing.
11-12.W.2f,Lang/Arts,11-12,W,,2,f,Writing Standards,Text Types and Purposes,"Provide a concluding statement or section that follows from and supports the information or explanation presented (e.g., articulating implications or the significance of the topic)."
11-12.W.3,Lang/Arts,11-12,W,,3,,Writing Standards,Text Types and Purposes,"Write narratives to develop real or imagined experiences or events using effective technique, well-chosen details, and well-structured event sequences."
11-12.W.3a,Lang/Arts,11-12,W,,3,a,Writing Standards,Text Types and Purposes,"Engage and orient the reader by setting out a problem, situation, or observation and its significance, establishing one or multiple point(s) of view, and introducing a narrator and/or characters; create a smooth progression of experiences or events."
11-12.W.3b,Lang/Arts,11-12,W,,3,b,Writing Standards,Text Types and Purposes,"Use narrative techniques, such as dialogue, pacing, description, reflection, and multiple plot lines, to develop experiences, events, and/or characters."
11-12.W.3c,Lang/Arts,11-12,W,,3,c,Writing Standards,Text Types and Purposes,"Use a variety of techniques to sequence events so that they build on one another to create a coherent whole and build toward a particular tone and outcome (e.g., a sense of mystery, suspense, growth, or resolution)."
11-12.W.3d,Lang/Arts,11-12,W,,3,d,Writing Standards,Text Types and Purposes,"Use precise words and phrases, telling details, and sensory language to convey a vivid picture of the experiences, events, setting, and/or characters."
11-12.W.3e,Lang/Arts,11-12,W,,3,e,Writing Standards,Text Types and Purposes,"Provide a conclusion that follows from and reflects on what is experienced, observed, or resolved over the course of the narrative."
11-12.W.4,Lang/Arts,11-12,W,,4,,Writing Standards,Production and Distribution of Writing,"Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience. (Grade-specific expectations for writing types are defined in standards 1–3 above.)"
11-12.W.5,Lang/Arts,11-12,W,,5,,Writing Standards,Production and Distribution of Writing,"Develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach, focusing on addressing what is most significant for a specific purpose and audience. (Editing for conventions should demonstrate command of Language standards 1–3 up to and including grades 11-12 on page 55.)"
11-12.W.6,Lang/Arts,11-12,W,,6,,Writing Standards,Production and Distribution of Writing,"Use technology, including the Internet, to produce, publish, and update individual or shared writing products in response to ongoing feedback, including new arguments or information."
11-12.W.7,Lang/Arts,11-12,W,,7,,Writing Standards,Research to Build and Present Knowledge,"Conduct short as well as more sustained research projects to answer a question (including a self-generated question) or solve a problem; narrow or broaden the inquiry when appropriate; synthesize multiple sources on the subject, demonstrating understanding of the subject under investigation."
11-12.W.8,Lang/Arts,11-12,W,,8,,Writing Standards,Research to Build and Present Knowledge,"Gather relevant information from multiple authoritative print and digital sources, using advanced searches effectively; assess the strengths and limitations of each source in terms of the task, purpose, and audience; integrate information into the text selectively to maintain the flow of ideas, avoiding plagiarism and overreliance on any one source and following a standard format for citation."
11-12.W.9,Lang/Arts,11-12,W,,9,,Writing Standards,Research to Build and Present Knowledge,"Draw evidence form literary or informational texts to support analysis, reflection, and research."
11-12.W.9a,Lang/Arts,11-12,W,,9,a,Writing Standards,Research to Build and Present Knowledge,"Apply grades 11–12 Reading standards to literature (e.g., “Demonstrate knowledge of eighteenth-, nineteenth- and early-twentieth-century foundational works of American literature, including how two or more texts from the same period treat similar themes or topics”)."
11-12.W.9b,Lang/Arts,11-12,W,,9,b,Writing Standards,Research to Build and Present Knowledge,"Apply grades 11–12 Reading standards to literary nonfiction (e.g., “Delineate and evaluate the reasoning in seminal U.S. texts, including the application of constitutional principles and use of legal reasoning [e.g., in U.S. Supreme Court Case majority opinions and dissents) and the premises, purposes, and arguments in works of public advocacy (e.g., The Federalist, presidential addresses]”)."
11-12.W.10,Lang/Arts,11-12,W,,10,,Writing Standards,Range of Writing,"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of tasks, purposes, and audiences."
11-12.RH.1,Lang/Arts,11-12,RH,,1,,Reading Literacy in History/Social Studies,Key Ideas and Details,"Cite specific textual evidence to support analysis of primary and secondary sources, connecting insights gained from specific details to an understanding of the text as a whole."
11-12.RH.2,Lang/Arts,11-12,RH,,2,,Reading Literacy in History/Social Studies,Key Ideas and Details,Determine the central ideas or information of a primary or secondary source; provide an accurate summary that makes clear the relationships among the key details and ideas.
11-12.RH.3,Lang/Arts,11-12,RH,,3,,Reading Literacy in History/Social Studies,Key Ideas and Details,"Evaluate various explanations for actions or events and determine which explanation best accouds with textual evidence, acknowledging where the text leaves matters uncertain."
11-12.RH.4,Lang/Arts,11-12,RH,,4,,Reading Literacy in History/Social Studies,Craft and Structure,"Determine the meaning of words and phrases as they are used in a text, including analyzing how an author uses and refines the meaning of a key term over the course of a text (e.g., how Madison defines faction in Federalist No. 10)."
11-12.RH.5,Lang/Arts,11-12,RH,,5,,Reading Literacy in History/Social Studies,Craft and Structure,"Analyze in detail how a complex primary source is structured, including how key sentences, paragraphs, and larger portions of the text contribute to the whole."
11-12.RH.6,Lang/Arts,11-12,RH,,6,,Reading Literacy in History/Social Studies,Craft and Structure,"Evaluate authors' differing points of view on the same historical event or issue by assessing the authors' claims, reasoning, and evidence."
11-12.RH.7,Lang/Arts,11-12,RH,,7,,Reading Literacy in History/Social Studies,Integration of Knowledge and Ideas,"Integrate and evaluate multiple sources of information presented in diverse formats and media (e.g., visually, quantitatively, as well as in words) in order to address a question or solve a problem."
11-12.RH.8,Lang/Arts,11-12,RH,,8,,Reading Literacy in History/Social Studies,Integration of Knowledge and Ideas,"Evaluate an author's premises, claims, and evidence by corroborating or challenging them with other information."
11-12.RH.9,Lang/Arts,11-12,RH,,9,,Reading Literacy in History/Social Studies,Integration of Knowledge and Ideas,"Integrate information from diverse sources, both primary and secondary, into a coherent understanding of an idea or event, noting discrepancies among sources."
11-12.RH.10,Lang/Arts,11-12,RH,,10,,Reading Literacy in History/Social Studies,Range of Reading and Level of Text Complexity,"By the end of grade 12, read and comprehend history/social studies texts in the grades 11-12 text complexity band independently and proficiently."
11-12.RST.1,Lang/Arts,11-12,RST,,1,,Reading Literacy in Science and Technical Subjects,Key Ideas and Details,"Cite specific textual evidence to support analysis of science and technical texts, attending to important distinctions the author makes and to any gaps or inconsistencies in the account."
11-12.RST.2,Lang/Arts,11-12,RST,,2,,Reading Literacy in Science and Technical Subjects,Key Ideas and Details,"Determine the central ideas or conclusions of a text; summarize complex concepts, processes, or information presented in a text by paraphrasing them in simpler but still accurate terms."
11-12.RST.3,Lang/Arts,11-12,RST,,3,,Reading Literacy in Science and Technical Subjects,Key Ideas and Details,"Follow precisely a complex multistep procedure when carrying out experiments, taking measurements, or performing technical tasks; analyze the specific results based on explanations in the text."
11-12.RST.4,Lang/Arts,11-12,RST,,4,,Reading Literacy in Science and Technical Subjects,Craft and Structure,"Determine the meaning of symbols, key terms, and other domain-specific words and phrases as they are used in a specific scientific or technical context relevant to grades 11-12 texts and topics."
11-12.RST.5,Lang/Arts,11-12,RST,,5,,Reading Literacy in Science and Technical Subjects,Craft and Structure,"Analyze how the text structures information or ideas into categories or hierarchies, demonstrating understanding of the information or ideas."
11-12.RST.6,Lang/Arts,11-12,RST,,6,,Reading Literacy in Science and Technical Subjects,Craft and Structure,"Analyze the author's purpose in providing an explanation, describing a procedure, or discussing an experiment in a text, identifying important issues that remain unresolved."
11-12.RST.7,Lang/Arts,11-12,RST,,7,,Reading Literacy in Science and Technical Subjects,Integration of Knowledge and Ideas,"Integrate and evaluate multiple sources of information presented in diverse formats and media (e.g., quantitative data, video, multimedia) in order to address a question or solve a problem."
11-12.RST.8,Lang/Arts,11-12,RST,,8,,Reading Literacy in Science and Technical Subjects,Integration of Knowledge and Ideas,"Evaluate the hypotheses, data, analysis, and conclusions in a science or technical text, verifying the data when possible and corroborating or challenging conclusions with other sources of information."
11-12.RST.9,Lang/Arts,11-12,RST,,9,,Reading Literacy in Science and Technical Subjects,Integration of Knowledge and Ideas,"Synthesize information from a range of sources (e.g., texts, experiments, simulations) into a coherent understanding of a process, phenomenon, or concept, resolving conflicting information when possible."
11-12.RST.10,Lang/Arts,11-12,RST,,10,,Reading Literacy in Science and Technical Subjects,Range of Reading and Level of Text Complexity,"By the end of grade 12, read and comprehend science/technical texts in the grades 11-12 text complexity band independently and proficiently."
11-12.WHST.1,Lang/Arts,11-12,WHST,,1,,"Writing Literacy in History/Social Studies, Science, and Technical Subjects",Text Types and Purposes,Write arguments focused on discipline-specific content.
11-12.WHST.1a,Lang/Arts,11-12,WHST,,1,a,"Writing Literacy in History/Social Studies, Science, and Technical Subjects",Text Types and Purposes,"Introduce precise, knowledgeable claim(s), establish the significance of the claim(s), distinguish the claim(s) from alternate or opposing claims, and create an organization that logically sequences the claim(s), counterclaims, reasons, and evidence."
11-12.WHST.1b,Lang/Arts,11-12,WHST,,1,b,"Writing Literacy in History/Social Studies, Science, and Technical Subjects",Text Types and Purposes,"Develop claim(s) and counterclaims fairly and thoroughly, supplying the most relevant data and evidence for each while pointing out the strengths and limitations of both claim(s) and counterclaims in a discipline-appropriate form that anticipates the audience's knowledge level, concerns, values, and possible biases."
11-12.WHST.1c,Lang/Arts,11-12,WHST,,1,c,"Writing Literacy in History/Social Studies, Science, and Technical Subjects",Text Types and Purposes,"Use words, phrases, and clauses as well as varied syntax to link the major sections of the text, create cohesion, and clarify the relationships between claim(s) and reasons, between reasons and evidence, and between claim(s) and counterclaims."
11-12.WHST.1d,Lang/Arts,11-12,WHST,,1,d,"Writing Literacy in History/Social Studies, Science, and Technical Subjects",Text Types and Purposes,Establish and maintain a formal style and objective tone while attending to the norms and conventions of the discipline in which they are writing.
11-12.WHST.1e,Lang/Arts,11-12,WHST,,1,e,"Writing Literacy in History/Social Studies, Science, and Technical Subjects",Text Types and Purposes,Provide a concluding statement or section that follows from or supports the argument presented.
11-12.WHST.2,Lang/Arts,11-12,WHST,,2,,"Writing Literacy in History/Social Studies, Science, and Technical Subjects",Text Types and Purposes,"Write informative/explanatory texts, including the narration of historical events, scientific procedures/ experiments, or technical processes."
11-12.WHST.2a,Lang/Arts,11-12,WHST,,2,a,"Writing Literacy in History/Social Studies, Science, and Technical Subjects",Text Types and Purposes,"Introduce a topic and organize complex ideas, concepts, and information so that each new element builds on that which precedes it to create a unified whole; include formatting (e.g., headings), graphics (e.g., figures, tables), and multimedia when useful to aiding comprehension."
11-12.WHST.2b,Lang/Arts,11-12,WHST,,2,b,"Writing Literacy in History/Social Studies, Science, and Technical Subjects",Text Types and Purposes,"Develop the topic thoroughly by selecting the most significant and relevant facts, extended definitions, concrete details, quotations, or other information and examples appropriate to the audience's knowledge of the topic."
11-12.WHST.2c,Lang/Arts,11-12,WHST,,2,c,"Writing Literacy in History/Social Studies, Science, and Technical Subjects",Text Types and Purposes,"Use varied transitions and sentence structures to link the major sections of the text, create cohesion, and clarify the relationships among complex ideas and concepts."
11-12.WHST.2d,Lang/Arts,11-12,WHST,,2,d,"Writing Literacy in History/Social Studies, Science, and Technical Subjects",Text Types and Purposes,"Use precise language, domain-specific vocabulary and techniques such as metaphor, simile, and analogy to manage the complexity of the topic; convey a knowledgeable stance in a style that responds to the discipline and context as well as to the expertise of likely readers."
11-12.WHST.2e,Lang/Arts,11-12,WHST,,2,e,"Writing Literacy in History/Social Studies, Science, and Technical Subjects",Text Types and Purposes,"Provide a concluding statement or section that follows from and supports the information or explanation provided (e.g., articulating implications or the significance of the topic)."
11-12.WHST.4,Lang/Arts,11-12,WHST,,4,,"Writing Literacy in History/Social Studies, Science, and Technical Subjects",Production and Distribution of Writing,"Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience."
11-12.WHST.5,Lang/Arts,11-12,WHST,,5,,"Writing Literacy in History/Social Studies, Science, and Technical Subjects",Production and Distribution of Writing,"Develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach, focusing on addressing what is most significant for a specific purpose and audience."
11-12.WHST.6,Lang/Arts,11-12,WHST,,6,,"Writing Literacy in History/Social Studies, Science, and Technical Subjects",Production and Distribution of Writing,"Use technology, including the Internet, to produce, publish, and update individual or shared writing pproducts in response to ongoing feedback, including new arguments or information."
11-12.WHST.7,Lang/Arts,11-12,WHST,,7,,"Writing Literacy in History/Social Studies, Science, and Technical Subjects",Research to Build and Present Knowledge,"Conduct short as well as more sustained research projects to answer a question (including a self-generated question) or solve a problem; narrow or broaden the inquiry when appropriate; synthesize multiple sources on the subject, demonstrating understanding of the subject under investigation."
11-12.WHST.8,Lang/Arts,11-12,WHST,,8,,"Writing Literacy in History/Social Studies, Science, and Technical Subjects",Research to Build and Present Knowledge,"Gather relevant information from multiple authoritative print and digital sources, using advanced searches effectively; assess the strengths and limitations of each source in terms of the specific task, purpose, and audience; integrate information into the text selectively to maintain the flow of ideas, avoiding plagiarism and overreliance on any one source and following a standard format for citation."
11-12.WHST.9,Lang/Arts,11-12,WHST,,9,,"Writing Literacy in History/Social Studies, Science, and Technical Subjects",Research to Build and Present Knowledge,"Draw evidence from informational texts to support analysis, reflection, and research."
11-12.WHST.10,Lang/Arts,11-12,WHST,,10,,"Writing Literacy in History/Social Studies, Science, and Technical Subjects",Range of Writing,"Write routinely over extended time frames (time for reflection and revision) and shorter time frames (a single sitting or a day or two) for a range of discipline-specific tasks, purposes, and audiences."
