Standard Code,Subject,Grade,Domain,Strand,Standard,Substandard,Category,Subcategory,Description
1.L.2d,Lang/Arts,1,L,,2,d,Language Standards,Conventions of Standard English,Use conventional spelling for words with common spelling patterns and for frequently occurring irregular words.
1.L.2e,Lang/Arts,1,L,,2,e,Language Standards,Conventions of Standard English,"Spell untaught words phonetically, drawing on phonemic awareness and spelling conventions."
1.L.4,Lang/Arts,1,L,,4,,Language Standards,Vocabulary Acquisition and Use,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 1 reading and content, choosing flexibly from an array of strategies."
1.L.4a,Lang/Arts,1,L,,4,a,Language Standards,Vocabulary Acquisition and Use,Use sentence-level context as a clue to the meaning of a word or phrase.
1.L.4b,Lang/Arts,1,L,,4,b,Language Standards,Vocabulary Acquisition and Use,Use frequently occurring affixes as a clue to the meaning of a word.
1.L.4c,Lang/Arts,1,L,,4,c,Language Standards,Vocabulary Acquisition and Use,"Identify frequently occurring root words (e.g., look) and their inflectional forms (e.g., looks, looked, looking)."
1.L.5,Lang/Arts,1,L,,5,,Language Standards,Vocabulary Acquisition and Use,"With guidance and support from adults, demonstrate understanding of word relationships and nuances in word meanings."
1.L.5a,Lang/Arts,1,L,,5,a,Language Standards,Vocabulary Acquisition and Use,"Sort words into categories (e.g., colors, clothing) to gain a sense of the concepts the categories represent."
1.L.5b,Lang/Arts,1,L,,5,b,Language Standards,Vocabulary Acquisition and Use,"Define words by category and by one or more key attributes (e.g., a duck is a bird that swims; a tiger is a large cat with stripes)."
1.L.5c,Lang/Arts,1,L,,5,c,Language Standards,Vocabulary Acquisition and Use,"Identify real-life connections between words and their use (e.g., note places at home that are cozy)."
1.L.5d,Lang/Arts,1,L,,5,d,Language Standards,Vocabulary Acquisition and Use,"Distinguish shades of meaning among verbs differing in manner (e.g., look, peek, glance, stare, glare, scowl) and adjectives differing in intensity (e.g., large, gigantic) by defining or choosing them or by acting out the meanings."
1.L.6,Lang/Arts,1,L,,6,,Language Standards,Vocabulary Acquisition and Use,"Use words and phrases acquired through conversations, reading and being read to, and responding to texts, including using frequently occurring conjunctions to signal simple relationships (e.g., I named my hamster Nibblet because she nibbles too much because she likes that)."
1.RF.1,Lang/Arts,1,RF,,1,,Reading Standards: Foundational Skills,Print Concepts,Demonstrate understanding of the organization and basic features of print.
1.RF.1a,Lang/Arts,1,RF,,1,a,Reading Standards: Foundational Skills,Print Concepts,"Recognize the distinguishing features of a sentence (e.g., first word, capitalization, ending punctuation)."
1.RF.2,Lang/Arts,1,RF,,2,,Reading Standards: Foundational Skills,Phonological Awareness,"Demonstrate understanding of spoken words, syllables, and sounds (phonemes)."
1.RF.2a,Lang/Arts,1,RF,,2,a,Reading Standards: Foundational Skills,Phonological Awareness,Distinguish long from short vowel sounds in spoken single-syllable words .
1.RF.2b,Lang/Arts,1,RF,,2,b,Reading Standards: Foundational Skills,Phonological Awareness,"Orally produce single-syllable words by blending sounds (phonemes), including consonant blends."
1.RF.2c,Lang/Arts,1,RF,,2,c,Reading Standards: Foundational Skills,Phonological Awareness,"Isolate and pronounce initial, medial vowel, and final sounds (phonemes) in spoken single-syllable words."
1.RF.2d,Lang/Arts,1,RF,,2,d,Reading Standards: Foundational Skills,Phonological Awareness,Segment spoken single-syllable words into their complete sequence of individual sounds (phonemes).
1.RF.3,Lang/Arts,1,RF,,3,,Reading Standards: Foundational Skills,Phonics and Word Recognition,Know and apply grade-level phonics and word analysis skills in decoding words.
1.RF.3a,Lang/Arts,1,RF,,3,a,Reading Standards: Foundational Skills,Phonics and Word Recognition,Know the spelling-sound correspondences for common consonant digraphs (two letters that represent one sound).
1.RF.3b,Lang/Arts,1,RF,,3,b,Reading Standards: Foundational Skills,Phonics and Word Recognition,Decode regularly spelled one-syllable words.
1.RF.3c,Lang/Arts,1,RF,,3,c,Reading Standards: Foundational Skills,Phonics and Word Recognition,Know final -e and common vowel team conventions for representing long vowel sounds.
1.RF.3d,Lang/Arts,1,RF,,3,d,Reading Standards: Foundational Skills,Phonics and Word Recognition,Use knowledge that every syllable must have a vowel sound to determine the number of syllables in a printed word.
1.RF.3e,Lang/Arts,1,RF,,3,e,Reading Standards: Foundational Skills,Phonics and Word Recognition,Decode two-syllable words following basic patterns by breaking the words into syllables.
1.RF.3f,Lang/Arts,1,RF,,3,f,Reading Standards: Foundational Skills,Phonics and Word Recognition,Read words with inflectional endings.
1.RF.3g,Lang/Arts,1,RF,,3,g,Reading Standards: Foundational Skills,Phonics and Word Recognition,Recognize and read grade-appropriate irregularly spelled words.
1.RF.4,Lang/Arts,1,RF,,4,,Reading Standards: Foundational Skills,Fluency,Read with sufficient accuracy and fluency to support comprehension.
1.RF.4a,Lang/Arts,1,RF,,4,a,Reading Standards: Foundational Skills,Fluency,Read grade-level text with purpose and understanding.
1.RF.4b,Lang/Arts,1,RF,,4,b,Reading Standards: Foundational Skills,Fluency,"Read grade-level text orally with accuracy, appropriate rate, and expression."
1.RF.4c,Lang/Arts,1,RF,,4,c,Reading Standards: Foundational Skills,Fluency,"Use context to confirm or self-correct word recognition and understanding, rereading as necessary."
1.RI.1,Lang/Arts,1,RI,,1,,Reading Standards for Informational Text,Key Ideas and Details,Ask and answer questions about key details in a text.
1.RI.2,Lang/Arts,1,RI,,2,,Reading Standards for Informational Text,Key Ideas and Details,Identify the main topic and retell key details of a text.
1.RI.3,Lang/Arts,1,RI,,3,,Reading Standards for Informational Text,Key Ideas and Details,"Describe the connection between two individuals, events, ideas, or pieces of information in a text."
1.RI.4,Lang/Arts,1,RI,,4,,Reading Standards for Informational Text,Craft and Structure,Ask and answer questions to help determine or clarify the meaning of words and phrases in a text.
1.RI.5,Lang/Arts,1,RI,,5,,Reading Standards for Informational Text,Craft and Structure,"Know and use various text features (e.g., headings, tables of contents, glossaries, electronic menus, icons) to locate key facts or information in a text."
1.RI.6,Lang/Arts,1,RI,,6,,Reading Standards for Informational Text,Craft and Structure,Distinguish between information provided by pictures or other illustrations and information provided by the words in a text.
1.RI.7,Lang/Arts,1,RI,,7,,Reading Standards for Informational Text,Integration of Knowledge and Ideas,Use the illustrations and details in a text to describe its key ideas.
1.RI.8,Lang/Arts,1,RI,,8,,Reading Standards for Informational Text,Integration of Knowledge and Ideas,Identify the reasons an author gives to support points in a text.
1.RI.9,Lang/Arts,1,RI,,9,,Reading Standards for Informational Text,Integration of Knowledge and Ideas,"Identify basic similarities in and differences between two texts on the same topic (e.g., in illustrations, descriptions, or procedures)."
1.RI.10,Lang/Arts,1,RI,,10,,Reading Standards for Informational Text,Range of Reading and Level of Text Complexity,"With prompting and support, read informational texts appropriately complex for grade 1."
1.RL.1,Lang/Arts,1,RL,,1,,Reading Standards for Literature,Key Ideas and Details,Ask and answer questions about key details in a text.
1.RL.2,Lang/Arts,1,RL,,2,,Reading Standards for Literature,Key Ideas and Details,"Retell stories, including key details, and demonstrate understanding of their central message or lesson."
1.RL.3,Lang/Arts,1,RL,,3,,Reading Standards for Literature,Key Ideas and Details,"Describe characters, settings, and major events in a story, using key details."
1.RL.4,Lang/Arts,1,RL,,4,,Reading Standards for Literature,Craft and Structure,Identify words and phrases in stories or poems that suggest feelings or appeal to the senses.
1.RL.5,Lang/Arts,1,RL,,5,,Reading Standards for Literature,Craft and Structure,"Explain major differences between books that tell stories and books that give information, drawing on a wide reading of a range of text types."
1.RL.6,Lang/Arts,1,RL,,6,,Reading Standards for Literature,Craft and Structure,Identify who is telling the story at various points in a text.
1.RL.7,Lang/Arts,1,RL,,7,,Reading Standards for Literature,Integration of Knowledge and Ideas,"Use illustrations and details in a story to describe its characters, setting, or events."
1.RL.9,Lang/Arts,1,RL,,9,,Reading Standards for Literature,Integration of Knowledge and Ideas,Compare and contrast the adventures and experiences of characters in stories.
1.RL.10,Lang/Arts,1,RL,,10,,Reading Standards for Literature,Range of Reading and Level of Text Complexity,"With prompting and support, read prose and poetry of appropriate complexity for grade 1."
1.SL.1,Lang/Arts,1,SL,,1,,Speaking and Listening Standards,Comprehension and Collaboration,Participate in collaborative conversations with diverse partners about grade 1 topics and texts with peers and adults in small and larger groups.
1.SL.1a,Lang/Arts,1,SL,,1,a,Speaking and Listening Standards,Comprehension and Collaboration,"Follow agreed-upon rules for discussions (e.g., listening to others with care, speaking one at a time about the topics and texts under discussion)."
1.SL.1b,Lang/Arts,1,SL,,1,b,Speaking and Listening Standards,Comprehension and Collaboration,Build on others’ talk in conversations by responding to the comments of others through multiple exchanges.
1.SL.1c,Lang/Arts,1,SL,,1,c,Speaking and Listening Standards,Comprehension and Collaboration,Ask questions to clear up any confusion about the topics and texts under discussion.
1.SL.2,Lang/Arts,1,SL,,2,,Speaking and Listening Standards,Comprehension and Collaboration,Ask and answer questions about key details in a text read aloud or information presented orally or through other media.
1.SL.3,Lang/Arts,1,SL,,3,,Speaking and Listening Standards,Comprehension and Collaboration,Ask and answer questions about what a speaker says in order to gather additional information or clarify something that is not understood.
1.SL.4,Lang/Arts,1,SL,,4,,Speaking and Listening Standards,Presentation of Knowledge and Ideas,"Describe people, places, things, and events with relevant details, expressing ideas and feelings clearly."
1.SL.5,Lang/Arts,1,SL,,5,,Speaking and Listening Standards,Presentation of Knowledge and Ideas,"Add drawings or other visual displays to descriptions when appropriate to clarify ideas, thoughts, and feelings."
1.SL.6,Lang/Arts,1,SL,,6,,Speaking and Listening Standards,Presentation of Knowledge and Ideas,Produce complete sentences when appropriate to task and situation. (See grade 1 Language standards 1 and 3 on page 26 for specific expectations.)
1.W.1,Lang/Arts,1,W,,1,,Writing Standards,Text Types and Purposes,"Write opinion pieces in which they introduce the topic or name the book they are writing about, state an opinion, supply a reason for the opinion, and provide some sense of closure."
1.W.2,Lang/Arts,1,W,,2,,Writing Standards,Text Types and Purposes,"Write informative/explanatory texts in which they name a topic, supply some facts about the topic, and provide some sense of closure."
1.W.3,Lang/Arts,1,W,,3,,Writing Standards,Text Types and Purposes,"Write narratives in which they recount two or more appropriately sequenced events, include some details regarding what happened, use temporal words to signal event order, and provide some sense of closure."
1.W.5,Lang/Arts,1,W,,5,,Writing Standards,Production and Distribution of Writing,"With guidance and support from adults, focus on a topic, respond to questions and suggestions from peers, and add details to strengthen writing as needed."
1.W.6,Lang/Arts,1,W,,6,,Writing Standards,Production and Distribution of Writing,"With guidance and support from adults, use a variety of digital tools to produce and publish writing, including in collaboration with peers."
1.W.7,Lang/Arts,1,W,,7,,Writing Standards,Research to Build and Present Knowledge,"Participate in shared research and writing projects (e.g., explore a number of “how-to” books on a given topic and use them to write a sequence of instructions)."
1.W.8,Lang/Arts,1,W,,8,,Writing Standards,Research to Build and Present Knowledge,"With guidance and support from adults, recall information from experiences or gather information from provided sources to answer a question."
