Standard Code,Subject,Grade,Domain,Strand,Standard,Substandard,Category,Subcategory,Description
8.RI.2,Lang/Arts,8,RI,,2,,Reading Standards for Informational Text,Key Ideas and Details,"Determine a central idea of a text and analyze its development over the course of the text, including its relationship to supporting ideas; provide an objective summary of the text."
8.RI.3,Lang/Arts,8,RI,,3,,Reading Standards for Informational Text,Key Ideas and Details,"Analyze how a text makes connections among and distinctions between individuals, ideas, or events (e.g., through comparisons, analogies, or categories)."
8.RI.4,Lang/Arts,8,RI,,4,,Reading Standards for Informational Text,Craft and Structure,"Determine the meaning of words and phrases as they are used in a text, including figurative, connotative, and technical meanings; analyze the impact of specific word choices on meaning and tone, including analogies or allusions to other texts."
8.RI.5,Lang/Arts,8,RI,,5,,Reading Standards for Informational Text,Craft and Structure,"Analyze in detail the structure of a specific paragraph in a text, including the role of particular sentences in developing and refining a key concept."
8.RI.6,Lang/Arts,8,RI,,6,,Reading Standards for Informational Text,Craft and Structure,Determine an author’s point of view or purpose in a text and analyze how the author acknowledges and responds to conflicting evidence or viewpoints.
8.RI.7,Lang/Arts,8,RI,,7,,Reading Standards for Informational Text,Integration of Knowledge and Ideas,"Evaluate the advantages and disadvantages of using different mediums (e.g., print or digital text, video, multimedia) to present a particular topic or idea."
8.RI.8,Lang/Arts,8,RI,,8,,Reading Standards for Informational Text,Integration of Knowledge and Ideas,"Delineate and evaluate the argument and specific claims in a text, assessing whether the reasoning is sound and the evidence is relevant and sufficient; recognize when irrelevant evidence is introduced."
8.RI.9,Lang/Arts,8,RI,,9,,Reading Standards for Informational Text,Integration of Knowledge and Ideas,Analyze a case in which two or more texts provide conflicting information on the same topic and identify where the texts disagree on matters of fact or interpretation.
8.RI.10,Lang/Arts,8,RI,,10,,Reading Standards for Informational Text,Range of Reading and Level of Text Complexity,"By the end of the year, read and comprehend literary nonfiction at the high end of the grades 6–8 text complexity band independently and proficiently."
8.RL.1,Lang/Arts,8,RL,,1,,Reading Standards for Literature,Key Ideas and Details,Cite the textual evidence that most strongly supports an analysis of what the text says explicitly as well as inferences drawn from the text.
8.RL.2,Lang/Arts,8,RL,,2,,Reading Standards for Literature,Key Ideas and Details,"Determine a theme or central idea of a text and analyze its development over the course of the text, including its relationship to the characters, setting, and plot; provide an objective summary of the text."
8.RL.3,Lang/Arts,8,RL,,3,,Reading Standards for Literature,Key Ideas and Details,"Analyze how particular lines of dialogue or incidents in a story or drama propel the action, reveal aspects of a character, or provoke a decision."
8.RL.4,Lang/Arts,8,RL,,4,,Reading Standards for Literature,Craft and Structure,"Determine the meaning of words and phrases as they are used in a text, including figurative and connotative meanings; analyze the impact of specific word choices on meaning and tone, including analogies or allusions to other texts."
8.RL.5,Lang/Arts,8,RL,,5,,Reading Standards for Literature,Craft and Structure,Compare and contrast the structure of two or more texts and analyze how the differing structure of each text contributes to its meaning and style.
8.RL.6,Lang/Arts,8,RL,,6,,Reading Standards for Literature,Craft and Structure,"Analyze how differences in the points of view of the characters and the audience or reader (e.g., created through the use of dramatic irony) create such effects as suspense or humor."
8.RL.7,Lang/Arts,8,RL,,7,,Reading Standards for Literature,Integration of Knowledge and Ideas,"Analyze the extent to which a filmed or live production of a story or drama stays faithful to or departs from the text or script, evaluating the choices made by the director or actors."
8.RL.9,Lang/Arts,8,RL,,9,,Reading Standards for Literature,Integration of Knowledge and Ideas,"Analyze how a modern work of fiction draws on themes, patterns of events, or character types from myths, traditional stories, or religious works such as the Bible, including describing how the material is rendered new."
8.RL.10,Lang/Arts,8,RL,,10,,Reading Standards for Literature,Range of Reading and Level of Text Complexity,"By the end of the year, read and comprehend literature, including stories, dramas, and poems, at the high end of grades 6–8 text complexity band independently and proficiently."
8.SL.1,Lang/Arts,8,SL,,1,,Speaking and Listening Standards,Comprehension and Collaboration,"Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grade 8 topics, texts, and issues, building on others’ ideas and expressing their own clearly."
8.SL.1a,Lang/Arts,8,SL,,1,a,Speaking and Listening Standards,Comprehension and Collaboration,"Come to discussions prepared, having read or researched material under study; explicitly draw on that preparation by referring to evidence on the topic, text, or issue to probe and reflect on ideas under discussion."
8.SL.1b,Lang/Arts,8,SL,,1,b,Speaking and Listening Standards,Comprehension and Collaboration,"Follow rules for collegial discussions and decision-making, track progress toward specific goals and deadlines, and define individual roles as needed."
8.SL.1c,Lang/Arts,8,SL,,1,c,Speaking and Listening Standards,Comprehension and Collaboration,"Pose questions that connect the ideas of several speakers and respond to others’ questions and comments with relevant evidence, observations, and ideas."
8.SL.1d,Lang/Arts,8,SL,,1,d,Speaking and Listening Standards,Comprehension and Collaboration,"Acknowledge new information expressed by others, and, when warranted, qualify or justify their own views in light of the evidence presented."
8.SL.2,Lang/Arts,8,SL,,2,,Speaking and Listening Standards,Comprehension and Collaboration,"Analyze the purpose of information presented in diverse media and formats (e.g., visually, quantitatively, orally) and evaluate the motives (e.g., social, commercial, political) behind its presentation."
8.SL.3,Lang/Arts,8,SL,,3,,Speaking and Listening Standards,Comprehension and Collaboration,"Delineate a speaker’s argument and specific claims, evaluating the soundness of the reasoning and relevance and sufficiency of the evidence and identifying when irrelevant evidence is introduced."
8.SL.4,Lang/Arts,8,SL,,4,,Speaking and Listening Standards,Presentation of Knowledge and Ideas,"Present claims and findings, emphasizing salient points in a focused, coherent manner with relevant evidence, sound valid reasoning, and well-chosen details; use appropriate eye contact, adequate volume, and clear pronunciation."
8.SL.5,Lang/Arts,8,SL,,5,,Speaking and Listening Standards,Presentation of Knowledge and Ideas,"Integrate multimedia and visual displays into presentations to clarify information, strengthen claims and evidence, and add interest."
8.SL.6,Lang/Arts,8,SL,,6,,Speaking and Listening Standards,Presentation of Knowledge and Ideas,"Adapt speech to a variety of contexts and tasks, demonstrating command of formal English when indicated or appropriate. (See grade 8 Language standards 1 and 3 on page 53 for specific expectations.)"
8.W.1,Lang/Arts,8,W,,1,,Writing Standards,Text Types and Purposes,Write arguments to support claims with clear reasons and relevant evidence.
8.W.1a,Lang/Arts,8,W,,1,a,Writing Standards,Text Types and Purposes,"Introduce claim(s), acknowledge and distinguish the claim(s) from alternate or opposing claims, and organize the reasons and evidence logically."
8.W.1b,Lang/Arts,8,W,,1,b,Writing Standards,Text Types and Purposes,"Support claim(s) with logical reasoning and relevant evidence, using accurate, credible sources and demonstrating an understanding of the topic or text."
8.W.1c,Lang/Arts,8,W,,1,c,Writing Standards,Text Types and Purposes,"Use words, phrases, and clauses to create cohesion and clarify the relationships among claim(s), counterclaims, reasons, and evidence."
8.W.1d,Lang/Arts,8,W,,1,d,Writing Standards,Text Types and Purposes,Establish and maintain a formal style.
8.W.1e,Lang/Arts,8,W,,1,e,Writing Standards,Text Types and Purposes,Provide a concluding statement or section that follows from and supports the argument presented.
8.W.2,Lang/Arts,8,W,,2,,Writing Standards,Text Types and Purposes,"Write informative/explanatory texts to examine a topic and convey ideas, concepts, and information through the selection, organization, and analysis of relevant content."
8.W.2a,Lang/Arts,8,W,,2,a,Writing Standards,Text Types and Purposes,"Introduce a topic clearly, previewing what is to follow; organize ideas, concepts, and information into broader categories; include formatting (e.g., headings), graphics (e.g., charts, tables), and multimedia when useful to aiding comprehension."
8.W.2b,Lang/Arts,8,W,,2,b,Writing Standards,Text Types and Purposes,"Develop the topic with relevant, well-chosen facts, definitions, concrete details, quotations, or other information and examples."
8.W.2c,Lang/Arts,8,W,,2,c,Writing Standards,Text Types and Purposes,Use appropriate and varied transitions to create cohesion and clarify the relationships among ideas and concepts.
8.W.2d,Lang/Arts,8,W,,2,d,Writing Standards,Text Types and Purposes,Use precise language and domain-specific vocabulary to inform about or explain the topic.
8.W.2e,Lang/Arts,8,W,,2,e,Writing Standards,Text Types and Purposes,Establish and maintain a formal style.
8.W.2f,Lang/Arts,8,W,,2,f,Writing Standards,Text Types and Purposes,Provide a concluding statement or section that follows from and supports the information or explanation presented.
8.W.3,Lang/Arts,8,W,,3,,Writing Standards,Text Types and Purposes,"Write narratives to develop real or imagined experiences or events using effective technique, relevant descriptive details, and well-structured event sequences."
8.W.3a,Lang/Arts,8,W,,3,a,Writing Standards,Text Types and Purposes,Engage and orient the reader by establishing a context and point of view and introducing a narrator and/or characters; organize an event sequence that unfolds naturally and logically.
8.W.3b,Lang/Arts,8,W,,3,b,Writing Standards,Text Types and Purposes,"Use narrative techniques, such as dialogue, pacing, description, and reflection, to develop experiences, events, and/or characters."
8.W.3c,Lang/Arts,8,W,,3,c,Writing Standards,Text Types and Purposes,"Use a variety of transition words, phrases, and clauses to convey sequence, signal shifts from one time frame or setting to another, and show the relationships among experiences and events."
8.W.3d,Lang/Arts,8,W,,3,d,Writing Standards,Text Types and Purposes,"Use precise words and phrases, relevant descriptive details, and sensory language to capture the action and convey experiences and events."
8.W.3e,Lang/Arts,8,W,,3,e,Writing Standards,Text Types and Purposes,Provide a conclusion that follows from and reflects on the narrated experiences or events.
8.W.4,Lang/Arts,8,W,,4,,Writing Standards,Production and Distribution of Writing,"Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience. (Grade-specific expectations for writing types are defined in standards 1–3 above.)"
8.W.5,Lang/Arts,8,W,,5,,Writing Standards,Production and Distribution of Writing,"With some guidance and support from peers and adults, develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach, focusing on how well purpose and audience have been addressed. (Editing for conventions should demonstrate command of Language standards 1–3 up to and including grade 8 on page 53.)"
8.W.6,Lang/Arts,8,W,,6,,Writing Standards,Production and Distribution of Writing,"Use technology, including the Internet, to produce and publish writing and present the relationships between information and ideas efficiently as well as to interact and collaborate with others."
8.W.7,Lang/Arts,8,W,,7,,Writing Standards,Research to Build and Present Knowledge,"Conduct short research projects to answer a question (including a self-generated question), drawing on several sources and generating additional related, focused questions that allow for multiple avenues of exploration."
8.W.8,Lang/Arts,8,W,,8,,Writing Standards,Research to Build and Present Knowledge,"Gather relevant information from multiple print and digital sources, using search terms effectively; assess the credibility and accuracy of each source; and quote or paraphrase the data and conclusions of others while avoiding plagiarism and following a standard format for citation."
8.W.9,Lang/Arts,8,W,,9,,Writing Standards,Research to Build and Present Knowledge,"Draw evidence from literary or informational texts to support analysis, reflection, and research."
8.W.9a,Lang/Arts,8,W,,9,a,Writing Standards,Research to Build and Present Knowledge,"Apply grade 8 Reading standards to literature (e.g., “Analyze how a modern work of fiction draws on themes, patterns of events, or character types from myths, traditional stories, or religious works such as the Bible, including describing how the material is rendered new”)."
8.W.9b,Lang/Arts,8,W,,9,b,Writing Standards,Research to Build and Present Knowledge,"Apply grade 8 Reading standards to literary nonfiction (e.g., “Delineate and evaluate the argument and specific claims in a text, assessing whether the reasoning is sound and the evidence is relevant and sufficient; recognize when irrelevant evidence is introduced”)."
8.W.10,Lang/Arts,8,W,,10,,Writing Standards,Range of Writing,"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of discipline-specific tasks, purposes, and audiences."
