Standard Code,Subject,Grade,Domain,Strand,Standard,Substandard,Category,Subcategory,Description
6-8.RST.2,Lang/Arts,6-8,RST,,2,,Reading Literacy in Science and Technical Subjects,Key Ideas and Details,Determine the central ideas or conclusions of a text; provide an accurate summary of the text distinct from prior knowledge or opinions.
6-8.RST.3,Lang/Arts,6-8,RST,,3,,Reading Literacy in Science and Technical Subjects,Key Ideas and Details,"Follow precisely a multistep procedure when carrying out experiments, taking measurements, or performing technical tasks."
6-8.RST.4,Lang/Arts,6-8,RST,,4,,Reading Literacy in Science and Technical Subjects,Craft and Structure,"Determine the meaning of symbols, key terms, and other domain-specific words and phrases as they are used in a specific scientific or technical context relevant to grades 6-8 texts and topics."
6-8.RST.5,Lang/Arts,6-8,RST,,5,,Reading Literacy in Science and Technical Subjects,Craft and Structure,"Analyze the structure an author uses to organize a text, including how the major sections contribute to the whole and to an understanding of the topic."
6-8.RST.6,Lang/Arts,6-8,RST,,6,,Reading Literacy in Science and Technical Subjects,Craft and Structure,"Analyze the author's purpose in providing an explanation, describing a procedure, or discussing an experiment in a text."
6-8.RST.7,Lang/Arts,6-8,RST,,7,,Reading Literacy in Science and Technical Subjects,Integration of Knowledge and Ideas,"Integrate quantitative or technical information expresssed in words in a text with a version of that information expressed visually (e.g., in a flowchart, diagram, model, graph, or table)."
6-8.RST.8,Lang/Arts,6-8,RST,,8,,Reading Literacy in Science and Technical Subjects,Integration of Knowledge and Ideas,"Distinguish among facts, reasoned judgment based on research findings, and speculation in a text."
6-8.RST.9,Lang/Arts,6-8,RST,,9,,Reading Literacy in Science and Technical Subjects,Integration of Knowledge and Ideas,"Compare and contrast the information gained from experiments, simulations, video, or multimedia sources with that gained from reading a text on the same topic."
6-8.RST.10,Lang/Arts,6-8,RST,,10,,Reading Literacy in Science and Technical Subjects,Range of Reading and Level of Text Complexity,"By the end of grade 8, read and comprehend science/technical texts in the grades 6-8 text complexity band independently and proficiently."
6-8.WHST.1,Lang/Arts,6-8,WHST,,1,,"Writing Literacy in History/Social Studies, Science, and Technical Subjects",Text Types and Purposes,Write arguments focused on discipline-specific content.
6-8.WHST.1a,Lang/Arts,6-8,WHST,,1,a,"Writing Literacy in History/Social Studies, Science, and Technical Subjects",Text Types and Purposes,"Introduce claim(s) about a topic or issue, acknowledge and distinguish the claim(s) from alternate or opposing claims, and organize the reasons and evidence logically."
6-8.WHST.1b,Lang/Arts,6-8,WHST,,1,b,"Writing Literacy in History/Social Studies, Science, and Technical Subjects",Text Types and Purposes,"Support claim(s) with logical reasoning and relevant, accurate data and evidence that demonstrate an understanding of the topic or text, using credible sources."
6-8.WHST.1c,Lang/Arts,6-8,WHST,,1,c,"Writing Literacy in History/Social Studies, Science, and Technical Subjects",Text Types and Purposes,"Use words, phrases, and clauses to create cohesion and clarify the relationships among claim(s), counterclaims, reasons, and evidence."
6-8.WHST.1d,Lang/Arts,6-8,WHST,,1,d,"Writing Literacy in History/Social Studies, Science, and Technical Subjects",Text Types and Purposes,Establish and maintain a formal style.
6-8.WHST.1e,Lang/Arts,6-8,WHST,,1,e,"Writing Literacy in History/Social Studies, Science, and Technical Subjects",Text Types and Purposes,Provide a concluding statement or section that follows from and supports the argument presented.
6-8.WHST.2,Lang/Arts,6-8,WHST,,2,,"Writing Literacy in History/Social Studies, Science, and Technical Subjects",Text Types and Purposes,"Write informative/explanatory texts, including the narration of historical events, scientific precedures/ experiments, or technical processes."
6-8.WHST.2a,Lang/Arts,6-8,WHST,,2,a,"Writing Literacy in History/Social Studies, Science, and Technical Subjects",Text Types and Purposes,"Introduce a topic clearly, previewing what is to follow; organize ideas, concepts, and information into broader categories as appropriate to achieving purpose; include formatting (e.g., headings), graphics (e.g., charts, tables), and multimedia when useful to aiding comprehension."
6-8.WHST.2b,Lang/Arts,6-8,WHST,,2,b,"Writing Literacy in History/Social Studies, Science, and Technical Subjects",Text Types and Purposes,"Develop the topic with relevant, well-chosen facts, definitions, concrete details, quotations, or other information and examples."
6-8.WHST.2c,Lang/Arts,6-8,WHST,,2,c,"Writing Literacy in History/Social Studies, Science, and Technical Subjects",Text Types and Purposes,Use appropriate and varied transitions to create cohesion and clarify the relationships among ideas and concepts.
6-8.WHST.2d,Lang/Arts,6-8,WHST,,2,d,"Writing Literacy in History/Social Studies, Science, and Technical Subjects",Text Types and Purposes,Use precise language and domain-specific vocabulary to inform about or explain the topic.
6-8.WHST.2e,Lang/Arts,6-8,WHST,,2,e,"Writing Literacy in History/Social Studies, Science, and Technical Subjects",Text Types and Purposes,Establish and maintain a formal style and objective tone.
6-8.WHST.2f,Lang/Arts,6-8,WHST,,2,f,"Writing Literacy in History/Social Studies, Science, and Technical Subjects",Text Types and Purposes,Provide a concluding statement or section that follows from and supports the information or explanation presented.
6-8.WHST.4,Lang/Arts,6-8,WHST,,4,,"Writing Literacy in History/Social Studies, Science, and Technical Subjects",Production and Distribution of Writing,"Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience."
6-8.WHST.5,Lang/Arts,6-8,WHST,,5,,"Writing Literacy in History/Social Studies, Science, and Technical Subjects",Production and Distribution of Writing,"With some guidance and support from peers and adults, develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach, focusing on how well purpose and audience have been addressed."
6-8.WHST.6,Lang/Arts,6-8,WHST,,6,,"Writing Literacy in History/Social Studies, Science, and Technical Subjects",Production and Distribution of Writing,"Use technology, including the Internet, to produce and publish writing and present the relationships between information and ideas clearly and efficiently."
6-8.WHST.7,Lang/Arts,6-8,WHST,,7,,"Writing Literacy in History/Social Studies, Science, and Technical Subjects",Research to Build and Present Knowledge,"Conduct short research projects to answer a question (including a self-generated question), drawing on several sources and generating additional related, focused questions that allow for multiple avenues of exploration."
6-8.WHST.8,Lang/Arts,6-8,WHST,,8,,"Writing Literacy in History/Social Studies, Science, and Technical Subjects",Research to Build and Present Knowledge,"Gather relevant information from multiple print and digital sources, using search terms effectively; assess the credibility and accuracy of each source; and quote or paraphrase the data and conclusions of others while avoiding plagiarism and following a standard format for citation."
6-8.WHST.9,Lang/Arts,6-8,WHST,,9,,"Writing Literacy in History/Social Studies, Science, and Technical Subjects",Research to Build and Present Knowledge,"Draw evidence from informational texts to support analysis reflection, and research."
6-8.WHST.10,Lang/Arts,6-8,WHST,,10,,"Writing Literacy in History/Social Studies, Science, and Technical Subjects",Range of Writing,"Write routinely over extended time frames (time for reflection and revision) and shorter time frames (a single sitting or a day or two) for a range of discipline-specific tasks, purposes, and audiences."
